,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-07-12,,,Editor's Corner,,4,-,0,2013-07-12,2013-07-12,This issue of Geophysics,78
1,2013-03-22,Massachusetts Institute of Technology,Yingcai Zheng; Xinding Fang; Michael C. Fehler; Daniel R. Burns,Geophysics Letters,USA,4,fractures; reservoir characterization; rock physics; carbonate; beam,26,2013-06-11,2012-12-07,Seismic characterization of fractured reservoirs by focusing Gaussian beams,78
2,2013-04-16,The University of Western Australia; Colorado School of Mines,Jeffrey Shragge; Tongning Yang; Paul Sava,Geophysics Letters,Australia; USA,4,4D; velocity analysis; inversion; imaging,5,2013-06-20,2013-02-07,Time-lapse image-domain tomography using adjoint-state methods,78
3,2013-02-25,The Petroleum Institute,Mohammed Y. Ali; Braham Barkat; Karl A. Berteussen; James Small,Case Histories,United Arab Emirates,4,passive seismic; surface wave; noise; arrays; P-wave,1,2013-06-20,2012-02-14,"A low-frequency passive seismic array experiment over an onshore oil field in Abu Dhabi, United Arab Emirates",78
4,2013-02-19,University of Houston,Shuhab D. Khan; Robert R. Stewart; Maisam Otoum; Li Chang,Case Histories,USA,4,gravity; remote sensing; global positioning systems (GPS); ground-penetrating radar (GPR); vibroseis,6,2013-06-07,2012-07-08,"A geophysical investigation of the active Hockley Fault System near Houston, Texas",78
5,2013-01-25,University of Texas at El Paso; Missouri State University,Antony Munika Wamalwa; Kevin L. Mickus; Laura F. Serpa,Case Histories,USA; USA,4,gravity; magnetotelluric; reservoir characterization; fractures; geothermal,1,2013-06-12,2011-10-19,"Geophysical characterization of the Menengai volcano, Central Kenya Rift from the analysis of magnetotelluric and gravity data",78
6,2013-03-10,The University of Texas at Austin; King Abdullah University of Science and Technology,Xiaolei Song; Tariq Alkhalifah,Anisotropy,USA; Saudi Arabia,4,3D; acoustic; modeling; P-wave; anisotropy,31,2013-06-04,2012-04-24,Modeling of pseudoacoustic P-waves in orthorhombic media with a low-rank approximation,78
7,2013-03-04,Jilin University; Daqing Oilfield Company Ltd.; Daqing Drilling and Exploration Engineering Company,Ruo-Long Song; Ji-Sheng Liu; Xiu-Mei Lv; Xiu-Tian Yang; Ke-Xie Wang; Liang Sun,Borehole Geophysics and Rock Properties,China; China; China,4,borehole geophysics; finite difference; horizontal wells; log analysis; tube wave,0,2013-06-03,2012-10-22,Effects of tool eccentralization on cement-bond-log measurements: Numerical and experimental results,78
8,2013-03-08,The University of Texas at Austin; AGH — University of Science and Technology; The University of Texas at Austin; University of the Basque Country (UPV/EHU); IKERBASQUE (Basque Foundation for Sciences),Paweł J. Matuszyk; Carlos Torres-Verdín; David Pardo,Borehole Geophysics and Rock Properties,USA; Poland; USA; Spain; Spain,4,2D; acoustic; wave propagation; logging; borehole geophysics,10,2013-06-03,2012-09-24,Frequency-domain finite-element simulations of 2D sonic wireline borehole measurements acquired in fractured and thinly bedded formations,78
9,2013-03-08,University of the Basque Country (UPV/EHU); The University of Texas at Austin,David Pardo; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,Spain; Spain; USA,4,resistivity; electromagnetics; fractures; modeling; borehole geophysics,19,2013-06-20,2013-01-12,Sensitivity analysis for the appraisal of hydrofractures in horizontal wells with borehole resistivity measurements,78
10,2013-03-06,Colorado School of Mines; Idaho National Laboratory,Saeed Zargari; Manika Prasad; Kenechukwu C. Mba; Earl D. Mattson,Borehole Geophysics and Rock Properties,USA; Nigeria; USA,4,acoustic; anisotropy; bulk modulus; impedance; log analysis,29,2013-06-24,2012-10-08,"Organic maturity, elastic properties, and textural characteristics of self resourcing reservoirs",78
11,2013-02-11,Geomodulus Co. Ltd.; Research Institute of Coal Geophysical Exploration; Research Institute of Petroleum Exploration and Development,Xin-Ping Chen; Quanming Huo; Jiandong Lin; Yang Wang; Fenjin Sun; Wuzhong Li; Guizhong Li,Borehole Geophysics and Rock Properties,China; China; China,4,coal; lithology; rock physics; amplitude variation with offset (AVO),6,2013-06-24,2012-08-26,The inverse correlations between methane content and elastic parameters of coal-bed methane reservoirs,78
12,2013-03-15,Massachusetts Institute of Technology,Sudhish Kumar Bakku; Michael Fehler; Daniel Burns,Borehole Geophysics and Rock Properties,USA,4,borehole geophysics; tube wave; fractures; microseismic; vertical seismic profile (VSP),14,2013-06-24,2012-12-14,Fracture compliance estimation using borehole tube waves,78
13,2013-04-12,Texas A&amp;M University; The University of Texas at Austin; Private consultant,Zoya Heidari; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics and Rock Properties,USA; USA; USA,4,logging; lithology; log analysis; inversion; algorithm,2,2013-06-28,2012-10-18,Improved estimation of mineral and fluid volumetric concentrations in thinly bedded carbonate formations,78
14,2013-04-20,Colorado School of Mines; Université de Savoie,A. Revil,Borehole Geophysics and Rock Properties,USA; France,4,electromagnetics; rock physics; resistivity,53,2013-07-11,2012-11-28,On charge accumulation in heterogeneous porous rocks under the influence of an external electric field,78
15,2013-04-12,Curtin University; CSIRO Earth Science and Resource Engineering; CO2CRC and CSIRO Earth Science and Resource Engineering; Curtin University; Curtin University; CSIRO Earth Science and Resource Engineering,Maxim Lebedev; Marina Pervukhina; Vassili Mikhaltsevitch; Tess Dance; Olga Bilenko; Boris Gurevich,Borehole Geophysics and Rock Properties,Australia; Australia; Australia; Australia; Australia; Australia,4,Rock Physics; Anisotropy; Reservoir characterization; time-lapse; Australia,19,2013-07-15,2012-12-18,An experimental study of acoustic responses on the injection of supercritical CO2 into sandstones from the Otway Basin,78
16,2013-02-25,ETH Zurich; Aarhus University,Joel E. Podgorski; Esben Auken; Cyril Schamper; Anders Vest Christiansen; Thomas Kalscheuer; Alan G. Green,Electrical and Electromagnetic Methods,Switzerland; Denmark,4,airborne survey; electromagnetics; inversion; processing,14,2013-06-03,2012-10-26,Processing and inversion of commercial helicopter time-domain electromagnetic data for environmental assessments and geologic and hydrologic mapping,78
17,2013-03-15,Schlumberger-Doll Research; Universitá di Bologna,M. Zaslavsky; V. Druskin; A. Abubakar; T. Habashy; V. Simoncini,Electrical and Electromagnetic Methods,USA; Italy,4,electromagnetics; inversion; imaging; deep water; algorithm,9,2013-06-03,2012-07-05,Large-scale Gauss-Newton inversion of transient controlled-source electromagnetic measurement data using the model reduction framework,78
