,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2017-02-17,,,Editor's corner,,2,-,0,2017-02-17,2017-02-17,This issue of Geophysics,82
1,2016-11-16,Norwegian University of Science and Technology (NTNU); Statoil,Martin Landrø; Fredrik Hansteen; Lasse Amundsen,Geophysics Letters,Norway; Norway,2,4D; acquisition; gas,1,2017-01-24,2016-09-12,Detecting gas leakage using high-frequency signals generated by air-gun arrays,82
2,2016-11-16,The University of Texas at Austin,Xinming Wu,Geophysics Letters,USA,2,coherency; faults; seismic attributes; tensor,12,2017-02-17,2016-09-07,Directional structure-tensor-based coherence to detect seismic faults and channels,82
3,2016-11-18,Uppsala University; Geological Survey of Finland (GTK); Yara Suomi Oy,Alireza Malehmir; Suvi Heinonen; Mahdieh Dehghannejad; Pasi Heino; Georgiana Maries; Fredrik Karell; Mikko Suikkanen; Aleksi Salo,Case Histories,Sweden; Finland; Finland,2,mining; borehole geophysics; reflection; tomography; high-resolution,1,2017-02-16,2016-08-19,"Landstreamer seismics and physical property measurements in the Siilinjärvi open-pit apatite (phosphate) mine, central Finland",82
4,2016-09-06,Aarhus Geophysics,Vladislav Kaminski; Andrea Viezzoli,Case Histories,Denmark,2,Airborne TDEM; Airborne IP; inversion; Cole-Cole parameters modelling; mineral exploration case studies,0,2017-01-30,2016-02-26,Modeling induced polarization effects in helicopter time-domain electromagnetic data: Field case studies,82
5,2016-11-12,University of Wyoming; Tata Consulting Services; Chevron Energy Technology Company; Wyoming State Geological Survey,Subhashis Mallick; Debraj Mukherjee; Luke Shafer; Erin Campbell-Stone,Case Histories,USA; USA; USA; USA,2,azimuthal anisotropy; AVAZ; in situ stress,4,2017-02-07,2015-05-07,"Azimuthal anisotropy analysis of P-wave seismic data and estimation of the orientation of the in situ stress fields: An example from the Rock-Springs uplift, Wyoming, USA",82
6,2016-10-28,Tongji University,Yang Zhou; Huazhong Wang,Anisotropy,China,2,separation; wave propagation; elastic; anisotropy; migration,2,2016-12-20,2016-04-11,Efficient wave-mode separation in vertical transversely isotropic media,82
7,2016-11-07,The University of Texas; Norwegian University of Science and Technology (NTNU),Yanadet Sripanich; Sergey Fomel; Alexey Stovas; Qi Hao,Anisotropy,USA; Norway,2,3D; anisotropy; moveout; traveltime,6,2017-01-24,2016-04-04,3D generalized nonhyperboloidal moveout approximation,82
8,2016-11-18,University of Oslo; University of Oslo; Norwegian Geotechnical Institute,Mohammad Koochak Zadeh; Nazmul Haque Mondol; Jens Jahren,Anisotropy,Norway; Norway; Norway,2,velocity analysis; porosity; anisotropy; rock physics,0,2017-02-15,2016-01-18,"Velocity anisotropy of Upper Jurassic organic-rich shales, Norwegian Continental Shelf",82
9,2016-11-07,University of Western Australia; Woodside Energy Ltd.; University of Western Australia,Lisa J. Gavin; David Lumley,Anisotropy,Australia; Australia; Australia,2,velocity; azimuthal; anisotropy; AVO; AVA; azimuth; borehole geophysics,0,2017-02-23,2015-12-21,"Stress-induced seismic azimuthal anisotropy, sand-shale content, and depth trends offshore North West Australia",82
