,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-01-25,,SEG Editor,Editor's Corner,,1,-,0,2013-01-25,1900-07-14,Instructions to Authors,78
1,2013-01-10,,,Editor's Corner,,1,-,0,2013-01-10,2013-01-10,This issue of Geophysics,78
2,2012-09-03,University of Alberta,Mostafa Naghizadeh; Mauricio Sacchi,Geophysics Letters,Canada,1,interpolation; aliasing; processing; sampling; acquisition,14,2012-12-11,2012-05-31,Multidimensional de-aliased Cadzow reconstruction of seismic records,78
3,2012-09-26,Commonwealth Scientific and Industrial Research Organisation (CSIRO); Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE),Tobias M. Müller; Pratap N. Sahay,Geophysics Letters,Australia; Mexico,1,rock physics; porosity; bulk modulus; modeling; wave propagation,7,2012-12-20,2012-04-18,Porosity perturbations and poroelastic compressibilities,78
4,2012-10-22,Chinese Academy of Sciences,Jin-Hai Zhang; Zhen-Xing Yao,Geophysics Letters,China,1,finite difference; optimization; dispersion; modeling; reverse time migration,40,2012-12-21,2012-07-17,Optimized finite-difference operator for broadband seismic wave modeling,78
5,2012-09-12,Colorado School of Mines; VALE SA,Cericia Martinez; Yaoguo Li; Richard Krahenbuhl; Marco Antonio Braga,Case Histories,USA; Brazil,1,case history; gravity; mining; inversion; interpretation,38,2012-12-14,2012-03-25,"3D inversion of airborne gravity gradiometry data in mineral exploration: A case study in the Quadrilátero Ferrífero, Brazil",78
6,2012-08-31,Airborne Survey and Remote Sensing Group; Geotech Airborne Pty. Ltd.,A. K. Chaturvedi; Cas Lotter; Shailesh Tripathi; A. K. Maurya; Indrajit Patra; P. S. Parihar,Case Histories,India; South Africa,1,airborne survey; case history; electromagnetics; modeling,4,2012-12-12,2011-12-26,"Integrated application of heliborne and ground electromagnetic surveys for mapping EM conductor for uranium exploration and its subsurface validation, North Delhi Fold Belt, Rajasthan, India: A case study",78
7,2012-09-18,Chinese Academy of Geological Sciences; Jilin University; Jilin University; Chinese Academy of Geological Sciences,Qingtian Lü; Guang Qi; Jiayong Yan,Case Histories,China; China; China; China,1,3D; gravity; magnetics; modeling; interpretation,7,2012-12-24,2012-04-11,3D geologic model of Shizishan ore field constrained by gravity and magnetic interactive modeling: A case history,78
8,2011-12-12,"MicroSeismic, Inc.; Nitec, LLC; Ridge Runner Enterprises, Inc.",Sherilyn Williams-Stroud; Chet Ozgen; Randall L. Billingsley,Case Histories,USA; USA; USA,1,development and production; fractures; microseismic; modeling,13,2013-01-18,2011-02-16,Microseismicity-constrained discrete fracture network models for stimulated reservoir simulation,78
9,2012-08-30,The University of Western Australia,Jeffrey Shragge,Anisotropy,Australia,1,processing; sampling; anisotropy; dip moveout (DMO); interpolation,2,2012-12-11,2012-06-19,Elliptical moveout operator for data regularization in azimuthally anisotropic media,78
10,2012-09-16,Colorado School of Mines; Shell Exploration &amp; Production Company; Colorado School of Mines,Xiaoxiang Wang; Ilya Tsvankin,Anisotropy,USA; USA; USA,1,anisotropy; vertical seismic profile (VSP); tomography; ray tracing; 2D,15,2013-01-04,2012-02-24,Ray-based gridded tomography for tilted transversely isotropic media,78
11,2012-09-28,China University of Petroleum,Jinping Wu; Wenxiao Qiao; Xiaohua Che; Xiaodong Ju; Junqiang Lu; Wenhe Wu,Borehole Geophysics and Rock Properties,China,1,acoustic; arrays; radiation; resolution; downhole sources,9,2012-12-12,2012-04-04,Experimental study on the radiation characteristics of downhole acoustic phased combined arc array transmitter,78
12,2012-09-17,University of Houston; State University of Campinas; University of Houston; ConocoPhillips; ConocoPhillips,Robert R. Stewart; Nikolay Dyaur; Bode Omoboya; J. J. S. de Figueiredo; Mark Willis; Samik Sil,Borehole Geophysics and Rock Properties,USA; Brazil; USA; USA; USA,1,acquisition; modeling; fractures; anisotropy; scattering,19,2012-12-13,2012-03-01,Physical modeling of anisotropic domains: Ultrasonic imaging of laser-etched fractures in glass,78
13,2012-09-28,Université de Savoie; Colorado School of Mines; Colorado School of Mines; Lawrence Berkeley National Laboratory; Oak Ridge National Laboratory,André Revil; Magnus Skold; Susan S. Hubbard; Yuxin Wu; David B. Watson; Marios Karaoulis,Borehole Geophysics and Rock Properties,France; USA; USA; USA; USA,1,rock physics; resistivity; permeability; induced polarization (IP),22,2012-12-14,2012-05-11,"Petrophysical properties of saprolites from the Oak Ridge Integrated Field Research Challenge site, Tennessee",78
