,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2017-06-15,,,Editor's corner,,4,-,0,2017-06-15,2017-06-15,This issue of Geophysics,82
1,2017-02-12,Université Grenoble Alpes; Université Grenoble Alpes; Laboratoire Jean Kuntzmann,Paul Wellington; Romain Brossier; Okba Hamitou; Phuong-Thu Trinh; Jean Virieux,Geophysics Letters,France; France,4,geostatistics; spatial filtering; seismic imaging,0,2017-05-05,2016-10-28,Efficient anisotropic dip filtering via inverse correlation functions,82
2,2017-03-28,Schlumberger Gould Research; Utrecht University; University of Edinburgh; Statoil; Delft Technical University,Ivan Vasconcelos; Matteo Ravasi; Joost van der Neut,Geophysics Letters,UK; the Netherlands; UK;; Norway; the Netherlands,4,full-waveform inversion; interferometry; extrapolation; reservoir characterization; nonlinear,0,2017-06-19,2016-11-30,"Subsurface-domain, interferometric objective functions for target-oriented waveform inversion",82
3,2017-03-04,University of Alberta; Norwegian University of Science and Technology,Hung Nho Dinh; Mirko van der Baan; Martin Landrø,Case Histories,Canada; Norway,4,4D; attenuation; case history; seismic attributes; time lapse,2,2017-05-09,2016-08-22,Processing and quality-control strategies for consistent time-lapse seismic attributes: A case history on an internal blowout using vintage data,82
4,2017-03-30,The University of Western Australia; The University of Western Australia; The University of Western Australia; University of Oxford; Western Australian Museum,Jeffrey Shragge; David Lumley; Nader Issa; Tom Hoskin; Alistair Paterson; Jeremy Green,Case Histories,Australia; Australia; Australia; UK; Australia,4,near surface; archaeology; ground-penetrating radar; magnetics; conductivity,0,2017-05-31,2016-10-11,Surveying Batavia’s Graveyard: Geophysical controlled experiments and subsurface imaging of archaeological sites on an Indian Ocean coral island,82
5,2017-03-16,BGP; Institute of Geology and Geophysics; Institute of Geology and Geophysics; CAS Center for Excellence in Tibetan Plateau Earth Sciences; Chengdu University of Technology; Chengdu Institute of Geology and Mineral Resources; BGP; Central South University,Lanfang He; Ling Chen; Xuben Wang; Zhengjiang Wang; Bing Zhang; Ligui Xu; Xuejun Liu; Weili Li; Rujun Chen,Borehole Geophysics,China; China; China; China; China; China; China; China,4,electrical properties; petrology; organic shales; Upper Yangtze; sweet spots,0,2017-05-26,2016-04-18,Electrical properties and its correlation to the petrology of the Upper Yangtze organic shales,82
6,2017-03-04,University of Texas at Austin; University of Oklahoma; University of Texas at Austin; Schlumberger Technology Corporation,Siddharth Misra; Carlos Torres-Verdín; Dean Homan; John Rasmus,Borehole Geophysics,USA; USA; USA; USA,4,electromagnetics; electrical/resistivity; log analysis; polarization; resistivity log,0,2017-05-16,2016-06-26,Dispersive and directional electrical conductivity and dielectric permittivity of conductive-mineral-bearing samples derived from multifrequency tensor electromagnetic induction measurements,82
7,2017-04-09,Massachusetts Institute of Technology,Hua Wang; Michael Fehler; Douglas Miller,Borehole Geophysics,USA,4,borehole geophysics; logging; measurement-while-drilling; P-wave; S-wave,1,2017-05-30,2016-07-21,Reliability of velocity measurements made by monopole acoustic logging-while-drilling tools in fast formations,82
8,2017-03-22,Pennsylvania State University,Yaneng Zhou; Saeid Nikoosokhan; Terry Engelder,Borehole Geophysics,USA,4,Sonic properties; Marcellus gas shale; abnormal pore pressure; pore pressure prediction; Appalachian Basin,0,2017-05-31,2016-10-25,Sonic properties as a signature of overpressure in the Marcellus gas shale of the Appalachian Basin,82
9,2017-02-15,The University of Texas at Austin,Ruijia Wang; Wilberth Herrera; Carlos Torres-Verdín,Borehole Geophysics,USA,4,wave propagation; logging; ray tracing; sonic; algorithm,0,2017-05-25,2016-07-28,Simulation and interpretation of sonic waveforms in high-angle and horizontal wells,82
