,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2012-03-02,,Tamas Nemeth,Editor's Corner,,2,-,0,2012-03-02,2012-03-02,This Issue of Geophysics,77
1,2012-02-15,University of British Columbia,Dikun Yang; Douglas W. Oldenburg,Case Histories,Canada,2,3D; airborne survey; electromagnetics; mining; inversion,38,2012-02-15,2011-06-03,Three-dimensional inversion of airborne time-domain electromagnetic data with applications to a porphyry deposit,77
2,2012-02-16,University of Brasília; University of Campinas,Julia B. Curto; Augusto C.B. Pires; Adalene M. Silva; Álvaro P. Crósta,Case Histories,Brazil; Brazil,2,mapping; radiometrics; magnetics,1,2012-02-16,2011-03-11,"The role of airborne geophysics for detecting hydrocarbon microseepages and related structural features: The case of Remanso do Fogo, Brazil",77
3,2012-02-16,ConocoPhillips; ConocoPhillips China Inc.,Xianhuai Zhu; Kirk Wallace; Qingrong Zhu; Robert Hofer,Case Histories,USA; China,2,scattering; attenuation; multicomponent; modeling; imaging,3,2012-02-16,2011-06-07,Scattering effect on shallow gas-obscured zone imaging in Bohai PL19-3 area,77
4,2012-02-27,University of Liege; F.R.I.A.-F.N.R.S.; University of Mons; University of Liege,Tanguy Robert; David Caterina; John Deceuster; Olivier Kaufmann; Frédéric Nguyen,Case Histories,Belgium; Belgium; Belgium; Belgium,2,monitoring; resistivity; tomography; time-lapse; fractures,33,2012-02-27,2011-08-19,A salt tracer test monitored with surface ERT to detect preferential flow and transport paths in fractured/karstified limestones,77
5,2012-03-02,Norwegian University of Science and Technology; Norwegian University of Science and Technology; Odin Petroleum,Kjartan Rimstad; Per Avseth; Henning Omre,Case Histories,Norway; Norway; Norway,2,case history; reservoir characterization,25,2012-03-02,2011-06-10,Hierarchical Bayesian lithology/fluid prediction: A North Sea case study,77
6,2012-03-07,Oklahoma State University; University of California at Santa Barbara; University of Oklahoma; Oklahoma State University,Ammanuel Fesseha Woldearegay; Priyank Jaiswal; Alexander R. Simms; Hanna Alexander; Leland C. Bement; Brian J. Carter,Case Histories,USA; USA; USA; USA,2,near surface; P-wave; migration; traveltime; inversion,2,2012-03-07,2011-06-17,"Ultrashallow depth imaging of a channel stratigraphy with first-arrival traveltime inversion and prestack depth migration: A case history from Bull Creek, Oklahoma",77
7,2012-03-06,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale (OGS); Universidad de Buenos Aires; Universidad Nacional de La Plata; Purdue University,José M. Carcione; Stefano Picotti; Fabio Cavallini; Juan E. Santos,Anisotropy,Italy; Argentina; Argentina; USA.,2,anisotropy; compressional wave (P-wave); rock physics; shear wave (S-wave); wave propagation,15,2012-03-06,2011-06-27,Numerical test of the Schoenberg-Muir theory,77
8,2012-02-21,Norwegian University of Science and Technology; Statoil ASA,Ganpan Ke; Merrick Johnston; Hefeng Dong,Borehole Geophysics and Rock Properties,Norway; Norway,2,rock physics,0,2012-02-21,2011-09-09,Rock-physics models for bitumen-saturated sands: Fractional gradient model and Hashin-Shtrikman iterative model,77
9,2012-03-07,Université Laval; University of Leeds; Université Laval; Imperial College London,Paul W. J. Glover; Emilie Walker; Matthew D. Jackson,Borehole Geophysics and Rock Properties,Canada; U. K.; Canada; U. K.,2,permeability; porosity; resistivity; rock physics; electromagnetics,26,2012-03-07,2011-09-27,Streaming-potential coefficient of reservoir rock: A theoretical model,77
