,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2014-09-17,,,Editor's Corner,,5,-,0,2014-09-17,2014-09-17,This issue of Geophysics,79
1,2014-05-14,Fluminense Federal University; COGE–Observatório Nacional; CENPES–PETROBRAS,Roger M. Moreira; Marco A. Cetale Santos; Jorge L. Martins; Denis L. F. Silva; Raul B. V. Pessolani; Djalma M. S. Filho; André Bulcão,Geophysics Letters,Brazil; Brazil; Brazil,5,acoustic; wave propagation; modeling; finite difference; wave equation,9,2014-07-31,2014-02-20,Frequency-domain acoustic-wave modeling with hybrid absorbing boundary conditions,79
2,2014-05-06,ETH Zürich; Uppsala University; ETH Zürich; Institute of Environmental Engineering; ETH Zürich; Aarhus University; Aarhus University,Philip Meier; Thomas Kalscheuer; Joel E. Podgorski; Lesego Kgotlhang; Alan G. Green; Stewart Greenhalgh; Lasse Rabenstein; Joseph Doetsch; Wolfgang Kinzelbach; Esben Auken; Peter Mikkelsen; Nikolaj Foged; Bashali Charles Jaba; Gomotsang Tshoso; Onkgopotse Ntibinyane,Case Histories,Switzerland; Sweden; Switzerland; Switzerland; Switzerland; Denmark; Denmark; Botswana,5,Okavango Delta; groundwater; electric resistance tomography; helicopter and ground-based transient electromagnetic method; independent and joint inversions,8,2014-07-21,2014-01-03,Hydrogeophysical investigations in the western and north-central Okavango Delta (Botswana) based on helicopter and ground-based transient electromagnetic data and electrical resistance tomography,79
3,2014-06-11,Vale; UFOP,Marco Antonio Braga; Issamu Endo; Henry Francisco Galbiatti; Dionisio Uendro Carlos,Case Histories,Brazil; Brazil,5,airborne survey; case history; economics; South America; mining,7,2014-08-22,2014-03-17,"3D full tensor gradiometry and Falcon Systems data analysis for iron ore exploration: Baú Mine, Quadrilátero Ferrífero, Minas Gerais, Brazil",79
4,2014-06-17,University of Houston; McMaster University,Lucia Torrado; Paul Mann; Janok Bhattacharya,Case Histories,Canada,5,3D; seismic attributes; seismic stratigraphy; coherence,5,2014-08-22,2013-11-15,"Application of seismic attributes and spectral decomposition for reservoir characterization of a complex fluvial system: Case study of the Carbonera Formation, Llanos foreland basin, Colombia",79
5,2014-04-28,Massachusetts Institute of Technology; Hess Corporation,Junlun Li; Chang Li; Scott A. Morton; Ted Dohmen; Keith Katahara; M. Nafi Toksöz,Anisotropy,USA; USA,5,anisotropy; downhole receivers; fractures; microseismic; tomography,27,2014-07-21,2013-09-12,Microseismic joint location and anisotropic velocity inversion for hydraulic fracturing in a tight Bakken reservoir,79
6,2014-04-28,"Norwegian University of Science and Technology (NTNU); LMA, CNRS, UPR 7051, Aix-Marseille University",Bjørn Ursin; Nathalie Favretto-Cristini; Paul Cristini,Anisotropy,Norway; France,5,Anisotropic media; Fresnel zone; Fresnel volume; curved interface; reflected wave; transmitted wave; TI media,0,2014-07-21,2013-10-25,Fresnel volume and interface Fresnel zone for reflected and transmitted waves from a curved interface in anisotropic media,79
7,2014-06-02,Curtin University; Curtin University; CSIRO Earth Science and Resource Engineering; CSIRO Earth Science and Resource Engineering,Olivia Collet; Boris Gurevich; Mahyar Madadi; Marina Pervukhina,Anisotropy,Australia; Australia,5,anisotropy; rock physics; P-wave; shear wave (S-wave),11,2014-08-05,2013-08-15,Modeling elastic anisotropy resulting from the application of triaxial stress,79
8,2014-04-22,University of Bergen; Octio AS; University of Texas at Austin,Bernardo Moyano; Tor Arne Johansen; Remy Sverre Agersborg; Kyle T. Spikes,Borehole Geophysics and Rock Properties,Norway; Norway; USA,5,rock physics; time-lapse; attenuation; borehole geophysics; compressional wave (P-wave),1,2014-07-21,2013-04-26,Diagnostics of seismic time-lapse effects of sandstones based on laboratory data,79
9,2014-05-12,The University of Texas at Austin; Université de Savoie; Colorado School of Mines,Vahid Shabro; Shaina Kelly; Carlos Torres-Verdín; Kamy Sepehrnoori; André Revil,Borehole Geophysics and Rock Properties,USA; France; USA,5,log analysis; logging; modeling; permeability; shale gas,10,2014-08-05,2014-03-24,Pore-scale modeling of electrical resistivity and permeability in FIB-SEM images of organic mudrock,79
10,2014-06-04,Colorado School of Mines; Université de Savoie; Colorado School of Mines; University of Texas at Austin,André Revil; Pauline Kessouri; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,USA; France; USA; USA,5,resistivity; induced polarization (IP); permeability; rock physics; porosity,38,2014-08-13,2014-01-24,"Electrical conductivity, induced polarization, and permeability of the Fontainebleau sandstone",79
11,2014-05-19,Samsung C&amp;T; Purdue University; Purdue University,Min-Kwang Choi; Antonio Bobet; Laura J. Pyrak-Nolte,Borehole Geophysics and Rock Properties,Korea; USA; USA,5,rock physics; fractures,12,2014-08-13,2013-11-24,The effect of surface roughness and mixed-mode loading on the stiffness ratio κx/κz for fractures,79
