,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2014-01-09,,,Editor's Corner,,1,-,0,2014-01-09,2014-01-09,This issue of Geophysics,79
1,2013-09-02,Institut de Radioprotection et de Sureté Nucléaire (IRSN); Université Joseph Fourier (ISTerre); Institut de Radioprotection et de Sureté Nucléaire (IRSN); Institut Francais des Sciences et Technologies des Transports; Université Joseph Fourier (ISTerre),François Bretaudeau; Céline Gélis; Donatienne Leparoux; Romain Brossier; Justo Cabrera; Philippe Côte,Case Histories,France; France; France; France,1,faults; environmental; illumination; imaging; inversion,5,2013-11-21,2013-02-28,"High-resolution quantitative seismic imaging of a strike-slip fault with small vertical offset in clay rocks from underground galleries: Experimental platform of Tournemire, France",79
2,2013-10-01,NTNU,Bastien Dupuy; Alexey Stovas,Case Histories,Norway,1,seismic attributes; rock physics; reservoir characterization; dispersion; porosity,14,2013-11-27,2012-12-12,Influence of frequency and saturation on AVO attributes for patchy saturated rocks,79
3,2013-09-16,Tongji University; Tongji University,Jiubing Cheng; Wei Kang,Anisotropy,China; China,1,anisotropy; wave propagation; wave equation; P-wave; shear wave (S-wave),14,2013-11-21,2012-11-30,"Simulating propagation of separated wave modes in general anisotropic media, Part I: qP-wave propagators",79
4,2013-09-16,NTNU; KAUST,Alexey Stovas; Tariq Alkhalifah,Anisotropy,Norway; Saudi Arabia,1,traveltime; anisotropy; mapping,5,2013-11-21,2013-02-01,Mapping moveout approximations in TI media,79
5,2013-09-09,China University of Petroleum,Xue-Lian Chen; Xiao-Ming Tang; Yu-Ping Qian,Borehole Geophysics and Rock Properties,China,1,acoustic; logging; fractures; modeling; rock physics,4,2013-11-05,2013-04-24,Simulation of multipole acoustic logging in cracked porous formations,79
6,2013-09-15,Weatherford; BIOS Developments Ltd.,Said Assous; Peter Elkington; Stuart Clark; James Whetton,Borehole Geophysics and Rock Properties,UK; UK,1,algorithm; borehole geophysics; imaging; log analysis; resistivity log,4,2013-11-05,2013-05-15,Automated detection of planar geologic features in borehole images,79
7,2013-10-15,University of Leeds; Lawrence Berkeley National Laboratory; University of Leeds; University of Leeds; University of Copenhagen; University of Leeds; University of Manchester,Christopher G. Hubbard; L. Jared West; Juan Diego Rodriguez-Blanco; Samuel Shaw,Borehole Geophysics and Rock Properties,UK; USA; UK; UK; Denmark; UK; UK,1,groundwater; induced polarization (IP); monitoring; near surface; resistivity,13,2013-12-04,2013-02-28,Laboratory study of spectral induced polarization responses of magnetite — Fe2+ redox reactions in porous media,79
8,2013-09-19,Laurentian University,Michal Kolaj; Richard Smith,Electrical and Electromagnetic Methods,Canada,1,electromagnetics; environmental; interpretation; case history; inversion,1,2013-11-05,2013-06-12,Mapping lateral changes in conductance of a thin sheet using time-domain inductive electromagnetic data,79
9,2013-09-19,Stanford University,Denys Grombacher; Jan O. Walbrecker; Rosemary Knight,Electrical and Electromagnetic Methods,USA,1,magnetization; inversion,1,2013-11-21,2012-11-20,Quantifying background magnetic-field inhomogeneity for improved interpretation of free induction decay measurements,79
