,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-10-31,,,Editor's Corner,,6,-,1,2013-10-31,2013-10-31,This issue of Geophysics,78
1,2013-08-20,Academy of Sciences of the Czech Republic; OGS; The Petroleum Institute,Leo Eisner; Davide Gei; Miroslav Hallo; Ivo Opršal; Mohammed Y. Ali,Geophysics Letters,Czech Republic; Italy; Czech Republic; United Arab Emirates,6,microseismic; attenuation; modeling; passive seismic; ray tracing,19,2013-10-18,2013-05-24,The peak frequency of direct waves for microseismic events,78
2,2013-06-30,LBNL; The University of Texas at Austin; BP; The University of Texas at Austin; The University of Texas at Austin; The University of Texas at Austin,Rui Zhang; Xiaolei Song; Sergey Fomel; Mrinal K. Sen; Sanjay Srinivasan,Case Histories,USA; USA; USA; USA; USA,6,time-lapse; inversion; acoustic; impedance,14,2013-10-03,2012-09-17,Time-lapse seismic data registration and inversion for CO2 sequestration study at Cranfield,78
3,2013-07-19,Uppsala University; Boliden Mines Exploration,Omid Ahmadi; Christopher Juhlin; Alireza Malehmir; Mie Munck,Case Histories,Sweden; Sweden,6,2D; processing; ray tracing; modeling,8,2013-10-08,2013-03-08,"High-resolution 2D seismic imaging and forward modeling of a polymetallic sulfide deposit at Garpenberg, central Sweden",78
4,2013-07-19,McMaster University; Sander Geophysics Limited; McMaster University,Peter Tschirhart; Bill Morris; Greg Hodges,Case Histories,Canada; Canada; Canada; Canada,6,interpretation; magnetic susceptibility; magnetics,2,2013-10-23,2012-12-03,A new regional/residual separation for magnetic data sets using susceptibility from frequency-domain electromagnetic data,78
5,2013-07-17,University of Saskatchewan,Amin Baharvand Ahmadi; Igor Morozov,Anisotropy,Canada,6,amplitude; anisotropy; attenuation; vertical seismic profile (VSP); wave propagation,4,2013-10-07,2012-09-24,Anisotropic frequency-dependent spreading of seismic waves from first-arrival vertical seismic profile data analysis,78
6,2013-07-14,Institut de Physique du Globe de Paris; Institute of Geophysics,Véronique Farra; Ivan Pšenčík,Anisotropy,France; Czech Republic,6,anisotropy; traveltime,6,2013-10-08,2013-02-28,Moveout approximations for P- and SV-waves in dip-constrained transversely isotropic media,78
7,2013-07-04,Colorado School of Mines; Université de Savoie; Colorado School of Mines; University of Texas at Austin; Colorado School of Mines,A. Revil; W. F. Woodruff; C. Torres-Verdín; M. Prasad,Borehole Geophysics and Rock Properties,USA; France; USA; USA; USA,6,anisotropy; borehole geophysics; electromagnetics; induced polarization (IP); resistivity,25,2013-10-03,2013-03-09,Complex conductivity tensor of anisotropic hydrocarbon-bearing shales and mudrocks,78
8,2013-07-09,Chevron Energy Technology Company,James W. SpencerJr.,Borehole Geophysics and Rock Properties,USA,6,attenuation; rock physics; 4D; bulk modulus; P-wave,10,2013-10-04,2012-12-20,Viscoelasticity of Ells River bitumen sand and 4D monitoring of thermal enhanced oil recovery processes,78
9,2013-07-17,China University of Geosciences; Chinese Academy of Geological Sciences,Shuang Liu; Xiangyun Hu; Tianyou Liu; Jie Feng; Wenli Gao; Liquan Qiu,Borehole Geophysics and Rock Properties,China; China,6,magnetization; wells; imaging; inversion; mining,13,2013-10-04,2012-11-04,Magnetization vector imaging for borehole magnetic data based on magnitude magnetic anomaly,78
10,2013-07-28,China University of Geosciences; China University of Geosciences; SINOPEC Petroleum Exploration and Production Institute,Maojin Tan; Qiong Liu; Songyang Zhang,Borehole Geophysics and Rock Properties,China; China; China,6,organic shale; radial basis function (RBF); nearest neighbor algorithm (NN); total organic carbon (TOC); Wireline logs,8,2013-10-08,2013-04-17,A dynamic adaptive radial basis function approach for total organic carbon content prediction in organic shale,78
11,2013-08-09,Rutgers University,Kristina Keating; Samuel Falzone,Borehole Geophysics and Rock Properties,USA,6,NMR relaxation; pore size distribution; void size distributions; grain size distributions; T2-distributions; surface relaxivity,7,2013-10-08,2012-10-30,Relating nuclear magnetic resonance relaxation time distributions to void-size distributions for unconsolidated sand packs,78
12,2013-07-02,The University of Texas at Austin,Olabode Ijasan; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics and Rock Properties,USA; USA,6,log analysis; logging; inversion; borehole geophysics; algorithm,8,2013-10-09,2013-05-05,Inversion-based petrophysical interpretation of logging-while-drilling nuclear and resistivity measurements,78
13,2013-08-01,China University of Petroleum,Yuan-Da Su; Xiao-Ming Tang; Chun-Xi Zhuang; Song Xu; Long Zhao,Borehole Geophysics and Rock Properties,China,6,borehole geophysics; dispersion; inversion; logging; acoustic,5,2013-10-09,2013-04-03,Mapping formation shear-velocity variation by inverting logging-while-drilling quadrupole-wave dispersion data,78
14,2013-04-14,Maersk Olie og Gas AS; Massachusetts Institute of Technology,Ole Jørgensen; Dan Burns,Borehole Geophysics and Rock Properties,Denmark; USA,6,acoustic; anisotropy; borehole geophysics; dispersion; finite element,3,2013-10-11,2012-11-20,Novel finite-element approach applied to borehole quadrupole dispersion analysis in stress-sensitive formations,78
15,2013-08-07,Stanford University,Amit Suman; Tapan Mukerji,Borehole Geophysics and Rock Properties,USA,6,4D; time-lapse; reservoir characterization; rock physics; monitoring,3,2013-10-11,2013-02-07,Sensitivity study of rock-physics parameters for modeling time-lapse seismic response of Norne field,78
16,2013-08-20,China University of Petroleum,Hua Wang; Guo Tao; Kuo Zhang,Borehole Geophysics and Rock Properties,China,6,acoustic; horizontal wells; borehole geophysics; dispersion; finite element,11,2013-10-25,2012-12-28,Wavefield simulation and analysis with the finite-element method for acoustic logging while drilling in horizontal and deviated wells,78
17,2013-08-09,Cenovus Energy Ltd.,Jeremy Gallop,Borehole Geophysics and Rock Properties,Canada,6,rock physics; anisotropy; sediment; modeling; shear modulus,3,2013-10-29,2013-03-24,Extended Walton third-order elastic coefficients modified by an anisotropic and stress-dependent coordination number,78
18,2013-07-27,"University of California, San Diego; Chevron Energy Technology Company; NEOS GeoSolutions; Chevron Energy Technology Company",Anandaroop Ray; David L. Alumbaugh; G. Michael Hoversten; Kerry Key,Electrical and Electromagnetic Methods,USA; USA; USA; USA,6,electromagnetics; inversion; statistics,17,2013-10-04,2013-03-26,Robust and accelerated Bayesian inversion of marine controlled-source electromagnetic data using parallel tempering,78
19,2013-06-09,Saudi Aramco,Daniele Colombo; Gary Wayne McNeice,Electrical and Electromagnetic Methods,Saudi Arabia,6,electromagnetics; reservoir characterization; borehole geophysics,10,2013-10-04,2012-06-05,Quantifying surface-to-reservoir electromagnetics for waterflood monitoring in a Saudi Arabian carbonate reservoir,78
20,2013-07-17,University of Bonn; TU Braunschweig; TU Braunschweig,Matthias Bücker; Andreas Hördt,Electrical and Electromagnetic Methods,Germany; Germany; Germany,6,induced polarization (IP); impedance; groundwater; permeability; rock physics,14,2013-10-07,2012-12-30,Long and short narrow pore models for membrane polarization,78
21,2013-07-05,Norwegian University of Science and Technology; Statoil Research Center; Statoil Research Center; Norwegian University of Science and Technology,Torgeir Wiik; Ketil Hokstad; Bjørn Ursin; Lutz Mütschard,Electrical and Electromagnetic Methods,Norway; Norway; Norway; Norway,6,Electromagnetics; inversion; numerical study,9,2013-10-17,2012-11-12,Joint contrast source inversion of marine magnetotelluric and controlled-source electromagnetic data,78
22,2013-07-07,Leibniz Institute for Applied Geophysics; Stanford University,Mike Müller-Petke; Jan O. Walbrecker; Rosemary Knight,Engineering and Environmental Geophysics,Germany; USA,6,electromagnetics; groundwater; near surface,14,2013-10-03,2013-01-29,The inversion of surface-NMR T1 data for improved aquifer characterization,78
23,2013-08-01,Kyoto University; Kyushu University Motooka,Tatsunori Ikeda; Takeshi Tsuji; Toshifumi Matsuoka,Engineering and Environmental Geophysics,Japan; Japan,6,surface wave; signal processing; near surface,19,2013-10-07,2013-01-11,Window-controlled CMP crosscorrelation analysis for surface waves in laterally heterogeneous media,78
24,2013-08-01,Delft University of Technology; Delft University of Technology,Laura Amalia Konstantaki; Deyan Draganov; Timo Heimovaara; Ranajit Ghose,Engineering and Environmental Geophysics,Netherlands; Netherlands,6,near surface; imaging; scattering; crosscorrelation; shear wave (S-wave),4,2013-10-07,2013-03-08,Imaging scatterers in landfills using seismic interferometry,78
25,2013-08-01,Korea Advanced Institute of Science and Technology (KAIST); Lawrence Berkeley National Laboratory,Tae-Hyuk Kwon; Jonathan B. Ajo-Franklin,Engineering and Environmental Geophysics,Korea; USA,6,attenuation; permeability; compressional wave (P-wave); monitoring,3,2013-10-21,2012-09-22,High-frequency seismic response during permeability reduction due to biopolymer clogging in unconsolidated porous media,78
26,2013-07-17,University of Edinburgh; Schlumberger Gould Research,Erica Galetti; David Halliday; Andrew Curtis,Geophysical Software and Algorithms,UK; UK,6,modeling; acoustic; wave propagation; scattering; finite difference,10,2013-10-11,2012-10-24,"A simple and exact acoustic wavefield modeling code for data processing, imaging, and interferometry applications",78
27,2013-06-27,National Technical University of Athens,C. Orfanos; G. Apostolopoulos,Interpretation Methods,Greece,6,multiparameter; modeling; near surface; interpretation,1,2013-10-03,2012-07-24,Multiparameter analysis of geophysical methods for target detection: The unified geophysical model approach,78
