,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2015-10-27,,,Editor's Corner,,6,-,0,2015-10-27,2015-10-27,This issue of Geophysics,80
1,2015-08-25,The Ohio State University,Ann E. Cook; Derek E. Sawyer,Geophysics Letters,USA,6,marine; seismic impedance; lithology; shallow; unconsolidated,2,2015-10-07,2015-05-29,The mud-sand crossover on marine seismic data,80
2,2015-07-02,Stanford University; University of Edinburgh; Stanford University,Sjoerd A. L. de Ridder; Biondo L. Biondi,Case Histories,USA; UK; USA,6,passive seismic; crosscorrelation; surface wave; tomography; oceanbottom cable (OBC),4,2015-09-23,2014-11-26,Ambient seismic noise tomography at Ekofisk,80
3,2015-08-01,Uppsala University; Uppsala University; Jilin University,Alireza Malehmir; Fengjiao Zhang; Mahdieh Dehghannejad; Emil Lundberg; Christin Döse; Olof Friberg; Bojan Brodic; Joachim Place; Mats Svensson; Henrik Möller,Case Histories,Sweden; Sweden; China; Sweden,6,acquisition; tomography; near surface; refraction; fractures,9,2015-10-06,2015-01-28,Planning of urban underground infrastructure using a broadband seismic landstreamer — Tomography results and uncertainty quantifications from a case study in southwestern Sweden,80
4,2015-08-05,Geological Survey of Sweden; Uppsala University,Mehrdad Bastani; Lena Persson; Suman Mehta; Alireza Malehmir,Case Histories,Sweden; Sweden,6,acquisition; case history; electromagnetics; engineering,4,2015-10-15,2014-11-10,Boat-towed radio-magnetotellurics — A new technique and case study from the city of Stockholm,80
5,2015-07-27,Istituto Nazionale di Geofisica e Vulcanologia; The Petroleum Institute,Pier Paolo Bruno,Case Histories,Italy; United Arab Emirates,6,environmental; geothermal; reflection; signal processing; volcanics,0,2015-10-16,2014-10-14,"High-resolution seismic imaging in complex environments: A comparison among common-reflection-surface stack, common-midpoint stack, and prestack depth migration at the Ilva-Bagnoli brownfield site, Campi Flegrei, Italy",80
6,2015-08-19,Norwegian University of Science and Technology,Alexey Stovas,Anisotropy,Norway,6,3D; anisotropy; moveout,30,2015-10-30,2015-05-20,Azimuthally dependent kinematic properties of orthorhombic media,80
7,2015-07-27,The University of Western Australia; ETH Zurich; The University of Auckland; The University of Auckland,Jeffrey Shragge; Thomas E. Blum; Kasper van Wijk; Ludmila Adam,Borehole Geophysics and Rock Properties,Australia; Switzerland; New Zealand; New Zealand,6,acoustic; borehole geophysics; Reverse time migration; rock physics; finite difference,6,2015-09-25,2015-01-12,Full-wavefield modeling and reverse time migration of laser ultrasound data: A feasibility study,80
8,2015-08-03,China University of Petroleum,Chao Li; Wenzheng Yue,Borehole Geophysics and Rock Properties,China,6,borehole geophysics; beam; acoustic; reflection; imaging,1,2015-10-07,2014-11-06,High-resolution adaptive beamforming for borehole acoustic reflection imaging,80
9,2015-07-27,The Petroleum Institute,Sandra Vega; M. Soufiane Jouini,Borehole Geophysics and Rock Properties,United Arab Emirates,6,carbonate; porosity; fractals; rock physics,1,2015-10-16,2014-12-17,2D multifractal analysis and porosity scaling estimation in Lower Cretaceous carbonates,80
