,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-09-16,,,Editor's Corner,,5,-,4,2013-09-16,2013-09-16,This issue of Geophysics,78
1,2013-05-06,Delft University of Technology,Guus Berkhout; Gerrit Blacquière,Geophysics Letters,The Netherlands,5,acquisition; noise; signal processing; processing; coherence,10,2013-08-08,2013-03-11,Effect of noise in blending and deblending,78
2,2013-05-12,Schlumberger Gould Research; ETH-Zurich; Statoil ASA; ETH-Zurich,David F. Halliday; Taiwo Fawumi; Johan O. A. Robertsson; Ed Kragh,Geophysics Letters,UK; Switzerland; Switzerland,5,acquisition; near surface; sensors; sources,0,2013-08-19,2013-03-01,On the use of a seismic sensor as a seismic source,78
3,2013-05-16,,Changmin Fu; Qingyun Di; Zhiguo An,Case Histories,China,5,case history; electromagnetics; groundwater; signal processing; resistivity,4,2013-08-08,2012-12-20,Application of the CSAMT method to groundwater exploration in a metropolitan environment,78
4,2013-05-08,Freie Universität Berlin,Nicolas Hummel; Serge A. Shapiro,Case Histories,Germany,5,passive seismic; microseismic; reservoir characterization; permeability,7,2013-08-19,2012-06-27,Nonlinear diffusion-based interpretation of induced microseismicity: A Barnett Shale hydraulic fracturing case study,78
5,2013-05-29,University of Tasmania; OZ Minerals Ltd.; University of Tasmania; Monash University and Flagstaff GeoConsultants Pty. Ltd.; OZ Minerals Ltd.,Nicholas R. A Smith; Anya M. Reading; Michael W. Asten; Charles W. Funk,Case Histories,Australia; Australia; Australia; Australia; Australia,5,microseismic; arrays; noise; shear wave (S-wave); Australia,5,2013-09-06,2012-10-26,Constraining depth to basement for mineral exploration using microtremor: A demonstration study from remote inland Australia,78
6,2013-05-22,Curtin University; Université Laval,Majed Almalki; Brett Harris; J. Christian Dupuis,Case Histories,Australia; Canada,5,acoustic; dispersion; logging; tube wave; borehole geophysics,3,2013-09-03,2012-08-20,Multifrequency full-waveform sonic logging in the screened interval of a large-diameter production well,78
7,2013-06-10,Colorado School of Mines; Université de Savoie; Colorado School of Mines; Indian School of Mines; Université de Savoie,A. Revil; M. Karaoulis; S. Srivastava; S. Byrdina,Case Histories,USA; France; USA; India; France,5,apparent resistivity; coal; near surface; tomography; rock physics,19,2013-09-10,2013-01-12,Thermoelectric self-potential and resistivity data localize the burning front of underground coal fires,78
8,2013-06-30,"Bucknell University; ARM Group, Inc.",Robert W. Jacob; Jeremy B. Byler; Mary Beth Gray,Case Histories,USA; USA,5,"Nippenose Valley, PA; Nittany Anticlinorium; very low frequency (VLF); electromagnetics (EM); electrical resistivity; DC resistivity; gravity; microgravity; Bellefonte Formation; Valley and Ridge Province; Central Appalachians",1,2013-09-10,2012-10-06,Integrated geophysical investigation of the St. James Fault Complex: A case study,78
9,2013-06-12,Aarhus University; Geological Survey of Denmark and Greenland (GEUS); Geological Survey of Denmark and Greenland (GEUS),Anne-Sophie Høyer; Ingelise Møller; Flemming Jørgensen,Case Histories,Denmark; Denmark; Denmark,5,electromagnetics; vibroseis; ground-penetrating radar (GPR); near surface; case history,4,2013-09-10,2012-11-07,Challenges in geophysical mapping of glaciotectonic structures,78
10,2013-06-13,Charles University; Geonika Ltd.,František Mantlík; Miloš Karous,Case Histories,Czech Republic; Czech Republic,5,geothermal; gravity; case history,0,2013-09-10,2013-01-21,Use of gravimetry in detailed geophysical prospection of potential geothermal energy exploitation sites: Case studies in the Czech Republic,78
11,2013-06-12,U.S. Geological Survey; Hunter Dickinson Inc.,Anjana K. Shah; Paul A. Bedrosian; Eric D. Anderson; Karen D. Kelley; James Lang,Case Histories,USA; Canada,5,induced polarization (IP); magnetics; magnetotelluric; gravity; case history,4,2013-09-11,2013-02-07,Integrated geophysical imaging of a concealed mineral deposit: A case study of the world-class Pebble porphyry deposit in southwestern Alaska,78
12,2013-04-14,New England Research; Massachusetts Institute of Technology; New England Research; Blindgoat Geophysics,Stephen Brown; Martin Smith,Borehole Geophysics and Rock Properties,USA; USA; USA; USA,5,permeability; fractures; hydrology; sampling; reservoir characterization,3,2013-07-25,2012-12-20,A transient-flow syringe air permeameter,78
