,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2016-01-29,,,Editor's Corner,,1,-,0,2016-01-29,2016-01-29,This issue of Geophysics,81
1,2015-06-25,University of Liege; University of Bonn; Aquale Sprl; University of Liege; Fund for Scientific Research-FNRS; Stanford University,Frederic Nguyen; Andreas Kemna; Tanguy Robert; Thomas Hermans,Geophysics Letters,Belgium; Germany; Belgium; Belgium; Belgium; USA,1,electrical/resistivity; inversion; time-lapse; tomography; imaging,4,2016-01-29,2015-04-12,Data-driven selection of the minimum-gradient support parameter in time-lapse focused electric imaging,81
2,2015-09-25,University of Alberta; University of Edinburgh; University of Alberta; Université du Québec en Abitibi-Témiscamingue; UBC Geophysical Inversion Facility; Geotech Ltd.; Amarc Resources Ltd.,Juliane Hübert; Benjamin M. Lee; Lijuan Liu; Martyn J. Unsworth; Jeremy P. Richards; Bahman Abbassi; Li Zhen Cheng; Douglas W. Oldenburg; Jean M. Legault; Mark Rebagliati,Case Histories,Canada; UK; Canada; Canada; Canada; Canada; Canada,1,electromagnetics; magnetotelluric; case history,3,2015-12-22,2015-04-15,"Three-dimensional imaging of a Ag-Au-rich epithermal system in British Columbia, Canada, using airborne z-axis tipper electromagnetic and ground-based magnetotelluric data",81
3,2015-09-23,China University of Geosciences; Geological Survey of Sweden; Uppsala University,Chunling Shan; Mehrdad Bastani; Alireza Malehmir; Lena Persson; Emil Lundberg,Case Histories,China; Sweden; Sweden,1,3D; case history; electromagnetics; near surface,3,2016-01-12,2014-08-16,"Integration of controlled-source and radio magnetotellurics, electric resistivity tomography, and reflection seismics to delineate 3D structures of a quick-clay landslide site in southwest of Sweden",81
4,2015-10-07,China University of Petroleum (Beijing),Chao Xu; Bangrang Di; Jianxin Wei,Case Histories,China,1,case history; carbonate; modeling; interpretation,3,2016-01-28,2014-11-20,"A physical modeling study of seismic features of karst cave reservoirs in the Tarim Basin, China",81
5,2015-08-23,China University of Petroleum (Beijing); Shell International Exploration and Production Inc.,Youlong Zou; Ranhong Xie; Yejiao Ding; Alon Arad,Borehole Geophysics and Rock Properties,China; USA,1,NMR T2 inversion; Maximum entropy; positive constraint\; variable substitution; Levenberg-Marquardt method,1,2015-11-06,2015-03-29,Inversion of nuclear magnetic resonance echo data based on maximum entropy,81
6,2015-09-01,The University of Texas at Austin,Oyinkansola Ajayi; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics and Rock Properties,USA; USA,1,borehole geophysics; logging; log analysis; inversion; algorithm,1,2015-11-16,2015-05-21,Inversion-based interpretation of logging-while-drilling gamma-ray spectroscopy measurements,81
7,2015-08-29,China University of Petroleum (East),Sheng-Qing Lee; Xiao-Ming Tang; Yuan-da Su; Chun-Xi Zhuang,Borehole Geophysics and Rock Properties,China,1,acoustic; dispersion; borehole geophysics; shear wave (S-wave); signal processing,7,2015-11-16,2015-04-02,Model-based dispersive processing of borehole dipole wave data using an equivalent-tool theory,81
8,2015-09-18,Delft University of Technology; NAM-Shell Projects and Technology; Utrecht University; Eindhoven University of Technology; Delft University of Technology,Alimzhan Zhubayev; Maartje E. Houben; David M. J. Smeulders; Auke Barnhoorn,Borehole Geophysics and Rock Properties,The Netherlands; The Netherlands; The Netherlands; The Netherlands; The Netherlands,1,acoustic; ultrasonic; attenuation; Q; shale gas,13,2015-12-08,2015-04-04,"Ultrasonic velocity and attenuation anisotropy of shales, Whitby, United Kingdom",81
9,2015-09-14,University of Houston; Cenovus Energy Inc.,Hemin Yuan; De-Hua Han; Weimin Zhang,Borehole Geophysics and Rock Properties,USA; Canada,1,rock physics; modeling,10,2015-12-16,2014-12-03,Heavy oil sands measurement and rock-physics modeling,81
