,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2012-08-30,,,Editor's Corner,,5,-,0,2012-08-30,2012-08-30,This issue of Geophysics,77
1,2012-06-06,Center for Wave Phenomena; Delft University of Technology,Filippo Broggini; Roel Snieder; Kees Wapenaar,Geophysics Letters,USA; The Netherlands,5,"seismic interferometry; autofocusing; acoustic; scattering; wave propagation; crosscorrelation, reflectivity",66,2012-08-08,2012-02-17,Focusing the wavefield inside an unknown 1D medium: Beyond seismic interferometry,77
2,2012-05-01,ETH Zurich; University of Lausanne; Lancaster University; ETH Zurich,Joseph Doetsch; Niklas Linde; Tobias Vogt; Andrew Binley; Alan G. Green,Case Histories,USA; Switzerland; Switzerland; U. K; Switzerland,5,rock physics,33,2012-08-24,2012-02-10,Imaging and quantifying salt-tracer transport in a riparian groundwater system by means of 3D ERT monitoring,77
3,2012-06-15,"Colorado School of Mines; BGP, China National Petroleum Corporation",Yaoguo Li; Zhanxiang He; Yunxiang Liu,Case Histories,USA; China,5,case history; magnetics; volcanics; inversion; amplitude,2,2012-08-23,2012-01-06,Application of magnetic amplitude inversion in exploration for volcanic units in a basin environment,77
4,2012-06-16,University of Cambridge; TGS; Laboratoire de Geoscience Marines; University of Cambridge,Hassan Masoomzadeh; Satish C. Singh; Penny J. Barton,Case Histories,U. K.; U. K.; France; U. K.,5,subbasalt; downward continuation; imaging; normal moveout (NMO); processing,1,2012-08-24,2011-08-12,"Shifted-elliptical nonstretch moveout correction of wide-angle seismic data in the τ-p domain, using an example from the Faeroe-Shetland Basin",77
5,2012-05-13,CICESE; Center for Exploration Targeting; Observatório Nacional (ON/MCT); PETRONAS Carigali; Lancaster University; PETROBRAS E&amp;P/GEOF/MNS; Strataimage Consultoria Ltda,L. A. Gallardo; S. L. Fontes; M. A. Meju; M. P. Buonora; P. P. de Lugao,Case Histories,Australia; Brazil; U. K; Brazil; Brazil,5,Marine exploration; sub-salt and sub-volcanic imaging; multi-physics imaging; joint inversion; image fusion; rifted margin,23,2012-08-30,2011-10-06,"Robust geophysical integration through structure-coupled joint inversion and multispectral fusion of seismic reflection, magnetotelluric, magnetic, and gravity images: Example from Santos Basin, offshore Brazil",77
6,2012-05-03,University of Bergen; University of Texas at Austin; University of Oslo,Bernardo Moyano; Kyle T. Spikes; Tor Arne Johansen; Nazmul Haque Mondol,Borehole Geophysics and Rock Properties,Norway; USA; Norway,5,rock physics; bulk modulus; shear modulus; porosity; shale gas,16,2012-08-08,2011-10-22,Modeling compaction effects on the elastic properties of clay-water composites,77
7,2012-05-26,Technische Universität Clausthal; Department of Earth &amp; Environmental Sciences,Andreas Weller; Lee Slater,Borehole Geophysics and Rock Properties,Germany; USA,5,environmental; induced polarization (IP); rock physics,21,2012-08-23,2012-01-26,Salinity dependence of complex conductivity of unconsolidated and consolidated materials: Comparisons with electrical double layer models,77
8,2012-05-26,Schlumberger DCS; Schlumberger DCS; Schlumberger-Doll Research,Florian Karpfinger; Jeroen Jocker; Romain Prioul,Borehole Geophysics and Rock Properties,Norway; The Netherlands; USA,5,finite element; anisotropy; wave propagation; tube wave; borehole geophysics,5,2012-09-07,2011-10-25,"Theoretical estimate of the tube-wave modulus in arbitrarily anisotropic media: Comparisons between semianalytical, FEM, and approximate solutions",77
9,2012-05-06,RMIT University,Terence Kratzer; James C. Macnae,Electrical and Electromagnetic Methods,Australia,5,airborne survey; deconvolution; electromagnetics; induced polarization (IP),21,2012-08-08,2011-12-01,Induced polarization in airborne EM,77
10,2012-05-03,Lawrence Berkeley National Laboratory; Chevron Energy Technology; Stanford University; Schlumberger-EMI,Evan Schankee Um; David L. Alumbaugh; Jerry M. Harris; Jiuping Chen,Electrical and Electromagnetic Methods,USA; USA; USA; USA,5,CSEM; 3D; finite-element,16,2012-08-08,2011-11-01,Numerical modeling analysis of short-offset electric-field measurements with a vertical electric dipole source in complex offshore environments,77
11,2012-04-23,Norwegian University of Science and Technology,Anwar H. Bhuyian; Martin Landrø; Ståle E. Johansen,Electrical and Electromagnetic Methods,Norway,5,3D; modeling; time-lapse; monitoring,10,2012-08-08,2011-11-09,3D CSEM modeling and time-lapse sensitivity analysis for subsurface CO2 storage,77
12,2012-05-20,Delft University of Technology; Delft University of Technology; Shell Global Solutions International BV,Ali Moradi Tehrani; Evert Slob; Wim Mulder,Electrical and Electromagnetic Methods,The Netherlands; The Netherlands; The Netherlands,5,CSEM; frequency-to-time-domain conversion; layered earth; analytical; numerical,1,2012-08-09,2011-10-27,Quasi-analytical method for frequency-to-time conversion in CSEM applications,77
13,2012-05-05,Rutgers University; Stanford University,Kristina Keating; Rosemary Knight,Electrical and Electromagnetic Methods,USA; USA,5,NMR; surface relaxivity; pore coupling; iron minerals; transverse relaxation,12,2012-08-22,2011-11-21,The effect of spatial variation in surface relaxivity on nuclear magnetic resonance relaxation rates,77
