,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2014-05-16,,,Editor's Corner,,3,-,0,2014-05-16,2014-05-16,This issue of Geophysics,79
1,2014-01-06,,Martin Landrø; Lasse Amundsen,Geophysics Letters,Norway,3,acquisition; air gun; marine; sources,12,2014-03-12,2013-09-19,Is it optimal to tow air guns shallow to enhance low frequencies?,79
2,2014-01-27,Colorado School of Mines; Seismic Science LLC; Delft University of Technology; Colorado School of Mines,Jyoti Behura; Kees Wapenaar; Roel Snieder,Geophysics Letters,USA; USA; Netherlands; USA,3,imaging; multiples; scattering; Subsalt; migration,33,2014-04-25,2013-11-12,Autofocus Imaging: Image reconstruction based on inverse scattering theory,79
3,2014-02-25,Service d’Astrophysique; Harbin Institute of Technology,Simon Beckouche; Jianwei Ma,Geophysics Letters,France; China,3,signal processing; sparse; noise,35,2014-05-08,2013-10-17,Simultaneous dictionary learning and denoising for seismic data,79
4,2014-01-05,ETH Zürich; ETH Zürich; Uppsala University; ETH Zürich,Fabienne Reiser; Joel E. Podgorski; Cedric Schmelzbach; Heinrich Horstmeyer; Alan G. Green; Thomas Kalscheuer; Hansruedi Maurer; Wolfgang K. H. Kinzelbach; Gomotsang Tshoso; Onkgopotse Ntibinyane,Case Histories,Switzerland; Switzerland; Sweden; Switzerland; Botswana,3,Traveltime tomography; seismic reflection imaging; helicopter transient electromagnetic surveying; Okavango Delta,6,2014-03-28,2013-07-23,Constraining helicopter electromagnetic models of the Okavango Delta with seismic-refraction and seismic-reflection data,79
5,2014-01-20,University of Texas at Austin,Mehdi E. Far; Bob Hardage; Don Wagner,Anisotropy,USA,3,anisotropy; fractures; amplitude variation with offset (AVO); rock physics,6,2014-04-23,2013-06-26,Fracture parameter inversion for Marcellus Shale,79
6,2014-02-10,The University of Texas at Dallas,Ernesto V. Oropeza; George A. McMechan,Anisotropy,USA,3,velocity analysis; anisotropy; migration,2,2014-05-02,2013-08-06,Common-reflection-point migration velocity analysis of 2D P-wave data from TTI media,79
7,2014-01-07,Schlumberger,Lennert D. den Boer,Anisotropy,Canada,3,3D; algorithm; anisotropy; fractures; rock physics,10,2014-05-20,2013-10-23,An efficient algorithm for computing nearest medium approximations to an arbitrary anisotropic stiffness tensor,79
8,2014-01-03,The University of Texas at Austin; Private consultant; Schlumberger; Chevron ETC,Olabode Ijasan; Carlos Torres-Verdín; William E. Preeg; John Rasmus; Edward Stockhausen,Borehole Geophysics and Rock Properties,USA; USA; USA; USA,3,resistivity log; inversion; apparent resistivity; borehole geophysics; bed thickness,3,2014-03-28,2013-09-23,Field examples of the joint petrophysical inversion of resistivity and nuclear measurements acquired in high-angle and horizontal wells,79
9,2014-01-14,Chinese Academy of Sciences,Fuli Xie; Weiguo Lv; Shouguo Yan; Kexie Wang; Bixing Zhang,Borehole Geophysics and Rock Properties,China,3,permeability; inversion; anisotropy; logging,0,2014-04-10,2012-11-05,Theoretical study on inversing the anisotropic permeability of VTI two-phase media by flexural waves in a fluid-filled borehole,79
