,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2012-04-30,,,Editor's Corner,,3,-,0,2012-04-30,2012-04-30,This issue of Geophysics,77
1,2012-02-22,Delft University of Technology,Kees Wapenaar; Joost van der Neut; Jan Thorbecke,Geophysics Letters,The Netherlands,3,acquisition; inversion,16,2012-04-25,2011-12-06,Deblending by direct inversion,77
2,2012-01-07,University of British Columbia,Xiang Li; Aleksandr Y. Aravkin; Tristan van Leeuwen; Felix J. Herrmann,Geophysics Letters,Canada,3,inversion; optimization; random; tomography,33,2012-05-11,2011-10-13,Fast randomized full-waveform inversion with compressive sensing,77
3,2012-01-07,National Technical University of Athens,G. Apostolopoulos,Case Histories,Greece,3,resistivity; tomography; marine; engineering,2,2012-03-21,2011-09-20,Marine resistivity tomography for coastal engineering applications in Greece,77
4,2012-01-05,Simon Fraser University; Curtin University of Technology; Simon Fraser University,E. M. Takam Takougang; A. J. Calvert,Case Histories,Canada; Australia; Canada,3,2D; attenuation; P-wave; tomography; interpretation,4,2012-04-03,2011-07-04,Seismic velocity and attenuation structures of the Queen Charlotte Basin from full-waveform tomography of seismic reflection data,77
5,2012-02-11,Chinese Academy of Sciences; U.S. Geological Survey; Guangzhou Marine Geological Survey,Xiujuan Wang; Myung Lee; Shiguo Wu; Shengxiong Yang,Case Histories,China; USA; China,3,hydrates,9,2012-04-19,2011-08-31,"Identification of gas hydrate dissociation from wireline-log data in the Shenhu area, South China Sea",77
6,2012-02-02,Süleyman Demirel University; Dokuz Eylül University; Çanakkale Onsekiz Mart University,Çağlayan Balkaya; Gökhan Göktürkler; Zülfikar Erhan; Yunus Levent Ekinci,Case Histories,Turkey; Turkey; Turkey,3,case history; resistivity; inversion; magnetic susceptibility; 2D,11,2012-04-30,2011-08-02,"Exploration for a cave by magnetic and electrical resistivity surveys: Ayvacık Sinkhole example, Bozdağ, İzmir (western Turkey)",77
7,2012-02-05,Istituto Nazionale di Geofisica e Vulcanologia; Institute of Engineering Seismology &amp; Earthquake Engineering; Institute of Engineering Seismology &amp; Earthquake Engineering; University of Potsdam; Université Joseph Fourier,Giuseppe Di Giulio; Alexandros Savvaidis; Matthias Ohrnberger; Marc Wathelet; Cecile Cornou; Brigitte Knapmeyer-Endrun; Florence Renalier; Nikos Theodoulidis; Pierre-Yves Bard,Case Histories,Italy; Greece; Greece; Germany; France,3,surface waves; inversion of dispersion curves; Akaike’s Information Criterion; site characterization,15,2012-05-02,2011-03-18,Exploring the model space and ranking a best class of models in surface-wave dispersion inversion: Application at European strong-motion sites,77
8,2011-12-15,"Stanford University; Ingrain, Inc.; Ingrain, Inc.",Jack Dvorkin; Qian Fang; Naum Derzhi,Borehole Geophysics and Rock Properties,USA; USA; USA,3,rock physics,12,2012-03-22,2011-06-30,Etudes in computational rock physics: Alterations and benchmarking,77
9,2011-12-29,Schlumberger Dhahran Carbonate Research; Schlumberger Riboud Product Center; Schlumberger Dhahran Carbonate Research,Jean-Marc Donadille; Salah M. Al-Ofi,Borehole Geophysics and Rock Properties,Saudi Arabia; France; Saudi Arabia,3,electromagnetics; fractures,2,2012-03-22,2011-06-26,Crosswell electromagnetic response in a fractured medium,77
10,2012-02-05,Indian Institute of Technology Bombay,D. Ramakrishnan; Rishikesh Bharti; M. Nithya; K. N. Kusuma; K. D. Singh,Borehole Geophysics and Rock Properties,India,3,thermal conductivity; rock physics; acquisition; heat flow,3,2012-04-20,2011-06-23,Measurement of thermal properties of select intact and weathered granulites and their relationship to rock properties,77
11,2012-01-23,Universidad Nacional de La Plata,Julián L. Gómez; Claudia L. Ravazzoli,Borehole Geophysics and Rock Properties,Argentina,3,modeling; reflectivity; monitoring,0,2012-04-23,2011-10-23,Reflection characteristics of linear carbon dioxide transition layers,77
12,2012-01-07,Helmholtz-Zentrum fu¨r Ozeanforschung Kiel (GEOMAR),Andrei Swidinsky; Sebastian Hölz; Marion Jegen,Electrical and Electromagnetic Methods,Germany,3,electromagnetics; marine; mining; near surface; mapping,22,2012-04-12,2011-07-02,On mapping seafloor mineral deposits with central loop transient electromagnetics,77
13,2012-02-15,Delft University of Technology; Delft University of Technology; Shell Global Solutions International BV,M. Kavian; E. C. Slob; W. A. Mulder,Electrical and Electromagnetic Methods,The Netherlands; The Netherlands; The Netherlands,3,borehole geophysics; electromagnetics; environmental; anisotropy; resistivity,5,2012-04-11,2011-08-20,A new empirical complex electrical resistivity model,77
14,2012-02-23,Université Pierre et Marie Curie/Centre National de la Recherche Scientifique; Université Pierre et Marie Curie/Centre National de la Recherche Scientifique; Pôle d'Archéologie Interdépartemental Rhénan,Claire Brinon; François-Xavier Simon; Alain Tabbagh,Electrical and Electromagnetic Methods,France; France; France,3,apparent resistivity; 3D; archaeology; inversion,7,2012-04-20,2011-08-13,Rapid 1D/3D inversion of shallow resistivity multipole data: Examples in archaeological prospection,77
15,2012-01-16,Aarhus University,Nicklas Skovgaard Nyboe; Kurt Sørensen,Electrical and Electromagnetic Methods,Denmark,3,electromagnetics; near surface; filtering; noise; optimization,6,2012-04-20,2011-07-08,Noise reduction in TEM: Presenting a bandwidth- and sensitivity-optimized parallel recording setup and methods for adaptive synchronous detection,77
16,2012-02-16,University of Palermo; Aarhus University; Geological Survey of Denmark and Greenland,Gianluca Fiandaca; Esben Auken; Anders Vest Christiansen; Aurélie Gazoty,Electrical and Electromagnetic Methods,Italy; Denmark; Denmark; Denmark,3,induced polarization (IP); modeling; inversion; spectral analysis,36,2012-04-23,2011-06-16,Time-domain-induced polarization: Full-decay forward modeling and 1D laterally constrained inversion of Cole-Cole parameters,77
17,2012-01-08,Forschungszentrum Jülich GmbH; University of Bonn;  University of Bonn; Central Institute for Electronics (ZEL),Adrián Flores Orozco; Andreas Kemna; Egon Zimmermann,Electrical and Electromagnetic Methods,Germany; Germany; Germany; Germany,3,induced polarization (IP); tomography; noise; processing; inversion,15,2012-04-27,2010-06-25,Data error quantification in spectral induced polarization imaging,77
18,2012-01-16,Kyoto University; Kyushu University; University of Bergen; University of Bergen; Kyoto University,Takeshi Tsuji; Tor Arne Johansen; Bent Ole Ruud; Tatsunori Ikeda; Toshifumi Matsuoka,Engineering and Environmental Geophysics,Japan; Japan; Norway; Norway; Japan,3,near surface; permafrost; shear wave (S-wave); inversion; surface wave,17,2012-04-03,2011-06-21,Surface-wave analysis for identifying unfrozen zones in subglacial sediments,77
19,2011-12-14,Ohio State University; Marmara University; Ohio State University,Kamil Erkan; Christopher Jekeli; C. K. Shum,Geophysical Software and Algorithms,USA; Istanbul; USA,3,gravity; magnetics; interpretation; algorithm; environmental,2,2012-03-16,2010-06-15,Fusion of gravity gradient and magnetic field data for discrimination of anomalies using deformation analysis,77
20,2011-12-20,University of California at San Diego,Kerry Key,Geophysical Software and Algorithms,USA,3,resistivity; programming; modeling; electromagnetics,24,2012-04-05,2011-07-01,Is the fast Hankel transform faster than quadrature?,77
21,2011-12-31,Norwegian University of Science and Technology; Norwegian University of Science and Technology; SINTEF Petroleum Research,Pamela Tempone; Martin Landrø; Erling Fjær,Gravity Exploration Methods,Norway; Norway; Norway,3,4D; gravity; modeling; monitoring; seafloor,2,2012-04-10,2010-11-06,4D gravity response of compacting reservoirs: Analytical approach,77
22,2012-02-09,Université Catholique de Louvain,Anh Phuong Tran; Mohammad Reza Mahmoudzadeh Ardekani; Sébastien Lambot,Ground-penetrating Radar,Belgium,3,ground-penetrating radar (GPR); inversion; electromagnetics; modeling; optimization,18,2012-04-09,2011-03-10,Coupling of dielectric mixing models with full-wave ground-penetrating radar signal inversion for sandy-soil-moisture estimation,77
