,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2015-04-28,,,Editor's Corner,,3,-,0,2015-04-28,2015-04-28,This issue of Geophysics,80
1,2015-01-07,Technische Universität Clausthal; Rutgers-Newark; Forschungszentrum Jülich GmbH,Andreas Weller; Lee Slater; Johan Alexander Huisman; Odilia Esser; Franz-Hubert Haegel,Geophysics Letters,Germany; USA; Germany,3,induced polarization (IP); rock physics,8,2015-03-17,2014-11-01,On the specific polarizability of sands and sand-clay mixtures,80
2,2014-12-29,The University of Texas at Austin,Parvaneh Karimi,Geophysics Letters,,3,inversion; interpretation; poststack; impedance,7,2015-03-18,2014-09-29,Structure-constrained relative acoustic impedance using stratigraphic coordinates,80
3,2015-01-09,Department of Petroleum Engineering and Applied Geophysics,Kjetil E. Haavik; Martin Landrø,Geophysics Letters,Norway,3,acquisition; air gun; common midpoint (CMP); survey design,9,2015-03-27,2014-09-17,Variable source depth acquisition for improved marine broadband seismic data,80
4,2015-01-27,Dalhousie University; University of Southampton; Dalhousie University; Dalhousie University,Louise Watremez; K. W. Helen Lau; Mladen R. Nedimović; Keith E. Louden,Case Histories,Canada; UK; Canada; Canada,3,North America; refraction; resolution; traveltime; tomography,8,2015-04-03,2014-08-12,Traveltime tomography of a dense wide-angle profile across Orphan Basin,80
5,2015-01-09,King Abdullah University of Science and Technology; Schlumberger; Schlumberger,Umair Bin Waheed; Can Evren Yarman; Garret Flagg,Anisotropy,Saudi Arabia; UK; USA,3,anisotropy; traveltime; P-wave,17,2015-03-30,2014-08-11,"An iterative, fast-sweeping-based eikonal solver for 3D tilted anisotropic media",80
6,2015-01-19,Academy of Sciences of the Czech Republic,Václav Vavryčuk,Anisotropy,Czech Republic,3,anisotropy; attenuation; complex rays; Q-factor; viscoelasticity,4,2015-04-01,2014-08-01,Determination of parameters of viscoelastic anisotropy from ray velocity and ray attenuation: Theory and numerical modeling,80
7,2015-01-07,Delft University of Technology; Delft University of Technology; Schlumberger Limited; Études et Productions Schlumberger,Michel Ponziani; Evert Slob; Stefan Luthi; Richard Bloemenkamp; Isabelle Le Nir,Borehole Geophysics and Rock Properties,The Netherlands; The Netherlands; The Netherlands; France,3,borehole geophysics; fractures; imaging; resistivity log,2,2015-03-12,2014-07-21,Experimental validation of fracture aperture determination from borehole electric microresistivity measurements,80
8,2014-12-29,University of Houston; Halliburton; University of Houston; University of Houston; Tongji University,Qiuliang Yao; De-hua Han; Fuyong Yan; Luanxiao Zhao,Borehole Geophysics and Rock Properties,USA; USA; USA; USA; China,3,attenuation; dispersion; bulk modulus; compressional wave (P-wave); rock physics,4,2015-03-17,2013-11-07,Modeling attenuation and dispersion in porous heterogeneous rocks with dynamic fluid modulus,80
9,2015-01-09,Leibniz Institute for Applied Geophysics; CSIRO Process Science and Engineering,Mike Müller-Petke; Raphael Dlugosch; Jochen Lehmann-Horn; Mathias Ronczka,Borehole Geophysics and Rock Properties,Germany; Australia,3,hydrology; inversion; near surface; permeability,2,2015-03-18,2014-04-11,Nuclear magnetic resonance average pore-size estimations outside the fast-diffusion regime,80
10,2015-01-09,China University of Petroleum; University of Alberta; China University of Petroleum; China University of Petroleum,Zizhen Wang; Ruihe Wang; Feifei Wang; Hao Qiu; Tianyang Li,Borehole Geophysics and Rock Properties,China; Canada; China; China,3,rock physics; carbonate; velocity variation; physical model,11,2015-03-18,2014-08-08,Experiment study of pore structure effects on velocities in synthetic carbonate rocks,80
11,2015-01-07,Tongji University; University of Houston; University of Houston; University of Houston,Luanxiao Zhao; De-hua Han; Qiuliang Yao; Rui Zhou; Fuyong Yan,Borehole Geophysics and Rock Properties,China; USA; USA; USA; USA,3,reflectivity; dispersion; attenuation; reservoir characterization; rock physics,4,2015-03-30,2014-07-05,Seismic reflection dispersion due to wave-induced fluid flow in heterogeneous reservoir rocks,80
12,2015-01-07,Chang’an University; University of Houston; Xidian University,Zhili He; Richard C. Liu; Kai Huang; Chen Guo,Borehole Geophysics and Rock Properties,China; USA; China,3,Triaxial Induction Logging; EM propagation in anisotropic media; EM propagation in dispersive media,1,2015-03-30,2014-07-20,A fast algorithm to forward model the triaxial induction logging response in layered transversely isotropic dipping formations,80
13,2015-01-07,The University of Texas at Austin; Consultant,Edwin Ortega; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics and Rock Properties,USA; USA,3,log analysis; logging; 2D; inversion; resistivity log,2,2015-04-03,2014-07-22,2D inversion-based interpretation of logging-while-drilling thermal-neutron and gamma-ray time decays,80
14,2015-02-12,University of Cambridge; Schlumberger Gould Research,Juerg Schuler; Philip A. F. Christie; Robert S. White,Borehole Geophysics and Rock Properties,UK; UK,3,vertical seismic profile (VSP); scattering; attenuation; stratigraphy,0,2015-04-20,2014-07-05,Effect of flood basalt stratigraphy on the phase of seismic waveforms recorded offshore Faroe Islands,80
15,2015-01-27,Stanford University; Schlumberger-Doll Research,Emily L. Fay; Rosemary J. Knight; Yi-Qiao Song,Borehole Geophysics and Rock Properties,USA,3,log analysis; groundwater; lithology; magnetic susceptibility; near surface,6,2015-04-23,2014-09-22,Investigating internal magnetic field gradients in aquifer sediments,80
16,2015-01-23,"China University of Petroleum-Beijing; China University of Petroleum-Beijing; The University of Texas at Austin; Baker Hughes, Inc.; The University of Texas at Austin",Wei Li; Guo Tao; Paweł J. Matuszyk; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,China; China; USA; USA; USA,3,Borehole acoustic; Dispersion analysis; Beam forming; High resolution,0,2015-04-27,2014-06-24,Forward and backward amplitude and phase estimation method for dispersion analysis of borehole sonic measurements,80
17,2015-02-04,Technische Universität Clausthal; Technische Universität Clausthal; China University of Geosciences; Rutgers-Newark,Andreas Weller; Zeyu Zhang; Lee Slater,Borehole Geophysics and Rock Properties,Germany; Germany; China; USA,3,induced polarization (IP); rock physics; resistivity,3,2015-04-27,2014-10-15,High-salinity polarization of sandstones,80
18,2014-12-17,Baker Hughes Incorporated; Novosibirsk State University; Baker Hughes Incorporated,Gleb Dyatlov; Elizaveta Onegova; Yuliy Dashevsky,Electrical and Electromagnetic Methods,Russia; Russia; Russia,3,2D; faults; resistivity; electromagnetics,4,2015-03-27,2014-06-03,Efficient 2.5D electromagnetic modeling using boundary integral equations,80
19,2015-01-07,Halliburton; Texas A&amp;M University; University of New Mexico; Sandia National Laboratories,Jianchao Ge; Mark E. Everett; Chester J. Weiss,Electrical and Electromagnetic Methods,USA; USA; New Mexico; USA; New Mexico; USA,3,3D; electromagnetics; finite difference; fractures; fractals,2,2015-04-08,2014-07-22,Fractional diffusion analysis of the electromagnetic field in fractured media — Part 2: 3D approach,80
20,2015-02-12,BlueGreen Geophysics; Scripps Institution of Oceanography,David Myer; Kerry Key; Steven Constable,Electrical and Electromagnetic Methods,USA; USA,3,electromagnetics; Australia; inversion; 2D,3,2015-04-09,2014-09-19,"Marine CSEM of the Scarborough gas field, Part 2: 2D inversion",80
21,2015-02-04,Scripps Institution of Oceanography,Steven Constable; Arnold Orange; Kerry Key,Electrical and Electromagnetic Methods,USA,3,inversion; magnetotelluric; Salt,8,2015-04-28,2014-08-14,And the geophysicist replied: “Which model do you want?”,80
22,2015-01-16,University of Houston,Craig Hyslop; Robert R. Stewart,Engineering and Environmental Geophysics,USA,3,surface wave; near surface; engineering; faults; signal processing,9,2015-04-23,2014-02-07,Imaging lateral heterogeneity using reflected surface waves,80
23,2015-01-07,Xi’an Jiaotong University; CCTEG Xi’an Research Institute,Pengliang Yang; Jinghuai Gao; Baoli Wang,Geophysical Software and Algorithms,China; China,3,wave equation; acoustic; finite difference; inversion,11,2015-03-18,2014-06-13,A graphics processing unit implementation of time-domain full-waveform inversion,80
24,2015-02-12,China University of Geosciences; Chinese Academy of Geological Sciences,Shuang Liu; Xiangyun Hu; Yufei Xi; Tianyou Liu; Shan Xu,Mining Geophysics,China; China,3,total field anomaly; total magnitude anomaly; inversion; magnetization; susceptibility; remanent magnetization,6,2015-04-27,2014-01-14,2D sequential inversion of total magnitude and total magnetic anomaly data affected by remanent magnetization,80
25,2014-12-29,Universite´ Joseph Fourier; Institute of Mine Seismology; Universite´ Joseph Fourier; Institute of Mine Seismology,Gerrit Olivier; Florent Brenguier; Michel Campillo; Richard Lynch; Philippe Roux,Passive Seismic Methods,France; Australia; France; Australia,3,tomography; mining; noise; passive seismic,12,2015-03-30,2014-06-29,Body-wave reconstruction from ambient seismic noise correlations in an underground mine,80
26,2015-01-29,Curtin University; CSIRO Mineral Resources Flagship; CSIRO Energy Flagship,Baichun Sun; Andrej Bóna; Andrew King; Binzhong Zhou,Passive Seismic Methods,Australia; Australia; Australia,3,coherence; passive seismic; resolution; velocity analysis; borehole geophysics,1,2015-05-05,2014-02-19,"A comparison of coherency measurement using semblance and multiple signal classification, from a seismic-while-drilling perspective",80
27,2015-01-16,Stanford University,Nishank Saxena; Gary Mavko,Poroelasticity,USA,3,bulk modulus; finite element; modeling; rock physics; shear modulus,4,2015-03-27,2014-09-24,The embedded-bound method for estimating the change in rock moduli under pore fill and mineral phase substitution,80
28,2015-01-09,Stanford University; Stanford University,Nishank Saxena; Gary Mavko; Tapan Mukerji,Poroelasticity,USA; USA,3,bulk modulus; reciprocity; rock physics,6,2015-03-30,2014-07-05,Fluid substitution in multimineralic rocks with large mineral stiffness contrast,80
29,2015-02-12,China University of Geosciences (Beijing),Yangting Liu; Umberta Tinivella; Xuewei Liu,Seismic Amplitude Interpretation,China; Italy,3,amplitude variation with offset (AVO); algorithm; marine; prestack; reflection,3,2015-04-23,2014-01-20,An inversion method for seafloor elastic parameters,80
30,2015-01-07,WesternGeco; Schlumberger; Curtin University; Université Laval; WesternGeco; The University of Sydney,Timothy Dean; J. Christian Dupuis; Rakib Hassan,Seismic Data Acquisition,Australia; UK; Australia; Canada; Australia; Australia,3,acquisition; arrays; noise; Australia,5,2015-03-18,2014-06-11,The coherency of ambient seismic noise recorded during land surveys and the resulting implications for the effectiveness of geophone arrays,80
31,2015-02-12,Schlumberger PetroTechnical Services; Schlumberger-Doll Research,Darrell Coles; Michael Prange; Hugues Djikpesse,Seismic Data Acquisition,USA; USA,3,optimum; survey design; experimental design; compression; big data,3,2015-05-08,2014-09-09,Optimal survey design for big data,80
32,2014-12-17,Shell International Exploration and Production; Chevron Corporation; Rice University,Peng Shen; William W. Symes,Seismic Inversion,USA; USA,3,wave equation; acoustic; common midpoint (CMP); RTM; velocity analysis,16,2015-05-15,2014-06-02,Horizontal contraction in image domain for velocity inversion,80
33,2015-01-27,King Abdullah University of Science and Technology (KAUST),Tariq Alkhalifah,Seismic Inversion,Saudi Arabia,3,inversion; anisotropy; acoustic,17,2015-04-23,2014-08-18,Conditioning the full-waveform inversion gradient to welcome anisotropy,80
34,2015-01-16,Delft University of Technology; Delft University of Technology,A. K. Soni; D. J. Verschuur,Seismic Inversion,Netherlands; Netherlands,3,vertical seismic profiling; blended acquisition; simultaneous source acquisition; true-amplitude migration; Inversion; modeling; illumination; imaging; internal multiples; surface multiples,2,2015-04-27,2014-04-28,Imaging blended vertical seismic profiling data using full-wavefield migration in the common-receiver domain,80
35,2015-02-12,Harbin Institute of Technology; Université Grenoble Alpes; Université Grenoble Alpes; Université Grenoble Alpes; Université Grenoble Alpes; Harbin Institute of Technology,Yang Li; Ludovic Métivier; Romain Brossier; Bo Han; Jean Virieux,Seismic Modeling and Wave Propagation,China; France; France; France; France,3,CARP-CG method; finite difference; domain decomposition; high-performance computing,13,2015-05-08,2014-10-08,2D and 3D frequency-domain elastic wave modeling in complex media with a parallel iterative solver,80
36,2014-12-29,"The University of Texas at Dallas; BP America, Inc.; The University of Texas at Dallas",Hu Jin; George A. McMechan,Seismic Velocity/Statics,USA; USA; USA,3,imaging; prestack; Reverse time migration,3,2015-03-17,2014-05-05,Removing smearing-effect artifacts in angle-domain common-image gathers from reverse time migration,80
37,2015-02-12,,Fan Xia; Shengwen Jin; Jan Pajchel,Seismic Velocity/Statics,USA; Norway,3,tomography; velocity analysis; RTM; wave equation; imaging,6,2015-04-07,2014-08-08,Sensitivity-kernel-based tomographic migration velocity analysis using reverse time migration angle-image gathers,80
38,2015-01-30,Earth Resource Lab; Earth Resource Lab; Shell International Exploration and Production; Aramco Research Center,Di Yang; Xuefeng Shang; Alison Malcolm; Michael Fehler; Hyoungsu Baek,Seismic Velocity/Statics,USA; USA; USA,3,shear wave (S-wave); tomography; velocity analysis; Reverse time migration,3,2015-04-27,2014-08-06,Image registration guided wavefield tomography for shear-wave velocity model building,80
39,2014-12-04,Schlumberger,Kuang-Hung Liu; Clément Kostov,Signal Processing,USA,3,adaptive subtraction; multiples; noise; signal processing,1,2015-04-06,2014-10-06,Multimodel adaptive subtraction with regularized parameter selection via generalized information criterion,80
40,2015-01-07,Ikon Science; Colorado School of Mines,Ehsan Zabihi Naeini; Dave Hale,Signal Processing,UK; USA,3,interpolation; reservoir characterization; signal processing,6,2015-03-18,2014-06-11,Image- and horizon-guided interpolation,80
41,2015-04-23,The University of Texas at Austin; The University of Texas at Austin,John A. Goff; Jeff Paine; Jane Uptegrove,Near-surface geophysics in the dynamic coastal environment: Crossing the land/sea interface,USA; USA; USA,3,-,0,2015-04-23,2015-04-23,Near surface geophysics: Investigating the dynamic coastal environment — Introduction,80
42,2015-01-29,The University of Texas at Austin; The Water Institute of the Gulf; Tulane University; The University of Texas at Austin; Texas A&amp;M University,John A. Goff; Mead A. Allison; Sean P. S. Gulick; Robert Reece; Marcy Davis; Dan Duncan; Steffen Saustrup,Near-surface geophysics in the dynamic coastal environment: Crossing the land/sea interface,USA; USA; USA; USA; USA,3,seafloor; sediment; stratigraphy; Gulf of Mexico; near surface,3,2015-04-23,2014-03-21,"Shoreface ravinement evolution tracked by repeat geophysical surveys following Hurricane Ike, Bolivar Peninsula, Texas, 2008–2013",80
43,2015-01-29,Louisiana State University; Louisiana State University; Louisiana State University,Jie Shen; Juan M. Lorenzo; Chris D. White; Frank Tsai,Near-surface geophysics in the dynamic coastal environment: Crossing the land/sea interface,USA; USA; USA,3,inversion; near surface; P-wave; shear wave (S-wave); rock physics,3,2015-04-23,2014-03-09,"Soil density, elasticity, and the soil-water characteristic curve inverted from field-based seismic P- and S-wave velocity in shallow nearly saturated layered soils",80
44,2015-01-29,"Federal Institute for Geosciences and Natural Resources; State Authority for Mining, Energy and Geology; Leibniz Institute for Applied Geophysics",Bernhard Siemon; Stephan Costabel; Wolfgang Voß; Uwe Meyer; Nico Deus; Jörg Elbracht; Thomas Günther; Helga Wiederhold,Near-surface geophysics in the dynamic coastal environment: Crossing the land/sea interface,Germany; Germany; Germany,3,airborne survey; electromagnetics; groundwater; near surface; resistivity,2,2015-04-23,2014-02-28,"Airborne and ground geophysical mapping of coastal clays in Eastern Friesland, Germany",80
45,2015-01-29,Boise State University; Gonzaga University; Université d’Abomey-Calavi,Kyle Lindsay; John Bradford; Stephen Silliman; Nicaise Yalo; Moussa Boukari,Near-surface geophysics in the dynamic coastal environment: Crossing the land/sea interface,USA; USA; West Africa,3,near surface; reflection; groundwater; hydrology; Africa,0,2015-04-23,2014-03-07,"Seismic imaging to help understand and manage water quality in coastal Bénin, West Africa",80
