,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2016-03-21,,,Editor's Corner,,2,-,0,2016-03-21,2016-03-21,This issue of Geophysics,81
1,2015-09-17,Korea Institute of Geoscience and Mineral Resources; Geological Survey of Austria,Jung-Ho Kim; Robert Supper; David Ottowitz; Birgit Jochum; Myeong-Jong Yi,Geophysics Letters,South Korea; Austria,2,self-potential; resistivity; protocol; data weighting; inversion,1,2016-03-15,2015-08-06,A new measurement protocol of direct current resistivity data,81
2,2015-11-24,Stanford University; The University of Edinburgh,Jason P. Chang; Sjoerd A. L. de Ridder; Biondo L. Biondi,Case Histories,USA; UK,2,surface wave; tomography; noise; near surface; interferometry,6,2016-03-08,2015-08-04,"High-frequency Rayleigh-wave tomography using traffic noise from Long Beach, California",81
3,2015-10-07,China University of Petroleum; China University of Petroleum; British Geological Survey,Feng Zhang; Xiang-Yang Li,Anisotropy,China; China; UK,2,impedance matrix; elastic impedance; anisotropy; reservoir characterization; shale-gas,2,2016-02-26,2015-03-09,Exact elastic impedance matrices for transversely isotropic medium,81
4,2015-10-12,Institut de Physique du Globe de Paris; Institute of Geophysics; BP Upstream Technology,Véronique Farra; Ivan Pšenčík; Petr Jílek,Anisotropy,France; Czech Republic; USA,2,anisotropy; P-wave; moveout; traveltime; 3D; log,6,2016-02-26,2015-04-10,Weak-anisotropy moveout approximations for P-waves in homogeneous layers of monoclinic or higher anisotropy symmetries,81
5,2015-12-02,Tongji University; Tongji University; Schlumberger,Jiubing Cheng; Wei Kang,Anisotropy,China; China; USA,2,anisotropy; shear wave (S-wave); wave equation; polarization; separation,2,2016-03-15,2015-04-30,"Simulating propagation of separated wave modes in general anisotropic media, Part II: qS-wave propagators",81
6,2015-11-11,Colorado School of Mines,Nishant Kamath; Ilya Tsvankin,Anisotropy,USA,2,anisotropy; multiparameter; inversion,20,2016-03-18,2014-12-12,Elastic full-waveform inversion for VTI media: Methodology and sensitivity analysis,81
7,2015-12-06,"Center for Wave Phenomena, Colorado School of Mines",Tong Bai; Ilya Tsvankin,Anisotropy,USA,2,anisotropy; attenuation; finite difference; modeling,11,2016-03-18,2015-08-07,Time-domain finite-difference modeling for attenuative anisotropic media,81
8,2015-11-13,University of Houston; University of Houston; Tongji University,Hui Li; De-Hua Han; Hemin Yuan; Xuan Qin; Luanxiao Zhao,Borehole Geophysics and Rock Properties,USA; USA; China,2,porosity; unconventional,1,2016-03-14,2015-03-16,Porosity of heavy oil sand: Laboratory measurement and bound analysis,81
9,2015-10-31,Shell International Exploration and Production Inc.; University of Houston,Aslan Gassiyev; Feifei Huang; Evgeni M. Chesnokov,Borehole Geophysics and Rock Properties,USA; USA,2,anisotropy; log analysis; modeling; shale gas; correlation,2,2016-02-18,2014-12-14,Using the pair-correlation function as a tool to identify the location for shale gas/oil reservoir based on well-log data,81
10,2015-11-24,The University of Texas at Austin,Shan Huang; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,USA,2,sonic; P-wave; S-wave; log analysis; inversion,2,2016-02-18,2015-06-19,Inversion-based interpretation of borehole sonic measurements using semianalytical spatial sensitivity functions,81
11,2015-12-02,Colorado School of Mines; Université Savoie Mont-Blanc,Qifei Niu; André Revil; Milad Saidian,Borehole Geophysics and Rock Properties,USA; France,2,rock physics; conductivity; electrical/resistivity; induced polarization (IP); resistivity,10,2016-02-18,2015-08-10,Salinity dependence of the complex surface conductivity of the Portland sandstone,81
12,2015-12-06,The University of Tokyo; The University of Tokyo,Jun Matsushima; Makoto Suzuki; Yoshibumi Kato; Shuichi Rokugawa,Borehole Geophysics and Rock Properties,Japan; Japan,2,attenuation; hydrates; Q; ultrasonic,2,2016-02-18,2015-06-30,Ultrasonic measurements of attenuation and velocity of compressional and shear waves in partially frozen unconsolidated sediment and synthetic porous rock,81
