,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2017-04-18,,,Editor's corner,,3,-,0,2017-04-18,2017-04-18,This issue of Geophysics,82
1,2016-10-10,University of Edinburgh; British Geological Survey,Youqian Zhao; Andrew Curtis; Brian Baptie,Geophysics Letters,UK; UK,3,microseismic; scattering; sources; unconventional; optimization,0,2017-03-02,2016-07-31,Locating microseismic sources with a single seismometer channel using coda wave interferometry,82
2,2016-12-16,Statoil Research Centre; The Norwegian University of Science and Technology; Statoil Research Centre; The Norwegian University of Science and Technology,Lasse Amundsen; Harald Westerdahl; Åsmund Sjøen Pedersen; Mark Thompson; Martin Landrø,Geophysics Letters,Norway; Norway; Norway; Norway,3,air gun; sources,0,2017-03-15,2016-11-27,On firing an air gun very shallow,82
3,2016-12-11,Geological Survey of Canada; Delft University of Technology,Saeid Cheraghi; Donald J. White; Deyan Draganov; Gilles Bellefleur; James A. Craven; Brian Roberts,Case Histories,Canada; The Netherlands,3,Canada; interferometry; imaging,3,2017-02-27,2016-07-14,"Passive seismic reflection interferometry: A case study from the Aquistore CO2 storage site, Saskatchewan, Canada",82
4,2017-02-20,University of Leeds; Geological Survey of Canada,Lisa A. N. Roach; Donald J. White; Brian Roberts; Doug Angus,Case Histories,UK; Canada,3,4D; time-lapse; seismic; CO2 storage; Aquistore; postinjection,1,2017-04-06,2016-09-15,Initial 4D seismic results after CO2 injection start-up at the Aquistore storage site,82
5,2017-02-01,Airborne Surveys and Remote Sensing Group,Veldi Ramesh Babu; Indrajit Patra; Shailesh Tripathi; Sridhar Muthyala; Anand K. Chaturvedi,Case Histories,India,3,uranium mineralization; inductive induced polarization; heliborne surveys; HTEM; Cole-Cole parameters; Cuddapah Basin,0,2017-04-07,2016-06-05,"Inductive induced polarization effect in heliborne time-domain electromagnetic data for uranium exploration, northern part of Cuddapah Basin, India",82
6,2017-02-15,Universidade de São Paulo; University of St. Andrews; Universidade de São Paulo; Universidade de São Paulo; Universidade Federal de Pernambuco,Vinicius Hector Abud Louro; Marta Silvia Maria Mantovani; Vanessa Biondo Ribeiro,Case Histories,Brazil; UK; Brazil; Brazil; Brazil,3,magnetics; modeling; sediment; radiometrics; South America,0,2017-04-11,2016-06-30,"Integrated geologic and geophysical interpretation of the Buraco da Velha copper deposit (Rondônia, Brazil): A basis for exploring in related environments",82
7,2016-12-11,Paradigm Geophysical,Igor Ravve; Zvi Koren,Anisotropy,USA,3,anisotropy; elastic; layered; NMO; traveltime,5,2017-03-13,2015-11-11,Fourth-order normal moveout velocity in elastic layered orthorhombic media — Part 1: Slowness-azimuth domain,82
8,2016-12-24,Paradigm Geophysical,Zvi Koren; Igor Ravve,Anisotropy,Israel,3,anisotropy; modeling; NMO; traveltime,5,2017-03-15,2016-04-26,Fourth-order normal moveout velocity in elastic layered orthorhombic media — Part 2: Offset-azimuth domain,82
9,2017-02-01,University of Houston; Sinopec Research Institute of Petroleum Engineering; University of Houston,Duo Yuan; Aibing Li,Anisotropy,USA; China; USA,3,microseismic; anisotropy; shear wave,0,2017-04-06,2016-04-25,Joint inversion for effective anisotropic velocity model and event locations using S-wave splitting measurements from downhole microseismic data,82
