,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2012-07-05,,,Editor's Corner,,4,-,0,2012-07-05,2012-07-05,This issue of Geophysics,77
1,2012-03-29,Delft University of Technology,A. J. Berkhout,Geophysics Letters,The Netherlands,4,acquisition; arrays; distributed systems; illumination; sampling,21,2012-07-05,2011-12-04,Blended acquisition with dispersed source arrays,77
2,2012-03-04,Council for Geoscience; University of Potsdam; Helmholtz Centre for Environmental Research — UFZ,Detlef G. Eberle; Hendrik Paasche,Case Histories,South Africa; Germany; Germany,4,mapping; Africa; remote sensing; statistics; algorithm,5,2012-06-14,2011-02-13,"Integrated data analysis for mineral exploration: A case study of clustering satellite imagery, airborne gamma-ray, and regional geochemical data suites",77
3,2012-03-04,University of Cagliari; CRS4,Gian Piero Deidda; Enzo Battaglia; Zeno Heilmann,Case Histories,Italy; Italy,4,2D; imaging; near surface; P-wave; shear wave (S-wave),3,2012-06-14,2011-10-08,Common-reflection-surface imaging of shallow and ultrashallow reflectors,77
4,2012-04-30,Southwest Petroleum University; CNOOC Research Center; CNPC Changqing Oilfield Company,Zhiguo Wang; Cheng Yin; Ting’en Fan; Xiaolan Lei,Case Histories,China; China; China,4,seismic attributes; reservoir characterization; stratigraphy; Asia; case history,12,2012-07-05,2011-06-14,"Seismic geomorphology of a channel reservoir in lower Minghuazhen Formation, Laizhouwan subbasin, China",77
5,2012-03-21,MIT; Chevron Corporation; Schlumberger DCS,Douglas E. Miller; Steve A. Horne; John Walsh,Case Histories,USA; USA; Australia; USA,4,borehole geophysics; anisotropy; log analysis; acoustic; rock physics,26,2012-07-06,2011-09-07,Precise inversion of logged slownesses for elastic parameters in a gas shale formation,77
6,2012-03-22,Norwegian University of Science and Technology (NTNU); King Abdullah University for Science and Technology (KAUST),Alexey Stovas; Tariq Alkhalifah,Anisotropy,Norway; Saudi Arabia,4,anisotropy; modeling; imaging,14,2012-07-06,2011-05-03,A new traveltime approximation for TI media,77
7,2012-03-06,École Polytechnique de Montréal,Pejman Shamsipour; Denis Marcotte; Michel Chouteau,Borehole Geophysics and Rock Properties,Canada,4,inversion; 3D; multiples; magnetics,3,2012-06-19,2011-07-31,Integrating multiscale parameters information into 3D stochastic magnetic anomaly inversion,77
8,2012-03-26,Jilin University; Daqing Drilling and Exploration Engineering Company,Ruo-Long Song; Jin-Xia Liu; Chun-Hui Hou; Ke-Xie Wang,Borehole Geophysics and Rock Properties,China; China,4,borehole geophysics; tube wave; log analysis; finite difference; imaging,8,2012-06-18,2011-07-25,Numerical simulation of Sector Bond log and improved cement bond image,77
9,2012-03-25,Aramco Services Company,Teruhiko Hagiwara,Borehole Geophysics and Rock Properties,USA,4,anisotropy; borehole geophysics; electromagnetics; multicomponent; resistivity log,3,2012-06-18,2011-12-12,Determination of dip and anisotropy from transient triaxial induction measurements,77
10,2012-03-21,The University of Texas; The University of Texas; Schlumberger; Schlumberger; Chevron ETC,Alberto Mendoza; Olabode Ijasan; Carlos Torres-Verdín; William E. Preeg; John Rasmus; R. J. Radtke; Edward Stockhausen,Borehole Geophysics and Rock Properties,USA; USA; USA; USA; USA; USA,4,nuclear; algorithm; bed thickness; inversion; log analysis,3,2012-06-20,2012-01-01,Inversion-based method for interpretation of logging-while-drilling density measurements acquired in high-angle and horizontal wells,77
11,2012-04-12,China University of Petroleum; Stanford University,Jingye Li; Jack Dvorkin,Borehole Geophysics and Rock Properties,China; USA,4,seismic attributes; rock physics,1,2012-06-25,2011-09-06,Effects of fluid changes on seismic reflections: Predicting amplitudes at gas reservoir directly from amplitudes at wet reservoir,77
