,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2016-12-28,,,Editor's corner,,1,-,0,2016-12-28,2016-12-28,This issue of Geophysics,82
1,2016-09-28,Delft University of Technology,Kees Wapenaar; Joost van der Neut; Evert Slob,Geophysics Letters,The Netherlands,1,imaging; internal multiples,2,2016-11-09,2016-06-21,On the role of multiples in Marchenko imaging,82
2,2016-08-16,University of Wyoming,Josiane Pafeng; Subhashis Mallick; Hema Sharma,Case Histories,USA,1,3D; case histories; inversion; prestack,2,2016-10-26,2016-02-09,"Prestack waveform inversion of three-dimensional seismic data — An example from the Rock Springs Uplift, Wyoming, USA",82
3,2016-09-28,University of Houston; Cenovus Energy Inc.,Hemin Yuan; De-Hua Han; Weimin Zhang,Case Histories,USA; Canada,1,time lapse; rock physics; inversion,2,2016-11-11,2016-03-25,Seismic characterization of heavy oil reservoir during thermal production: A case study,82
4,2016-09-14,CSIRO,Yevhen Kovalyshen; Joel Sarout; Jeremie Dautriat,Anisotropy,Australia,1,anisotropy; numerical; inversion; ultrasonic; P-wave,1,2016-11-07,2016-02-26,Inversion of ultrasonic data for transversely isotropic media,82
5,2016-09-14,Norwegian University of Science and Technology (NTNU); King Abdullah University for Science and Technology (KAUST),Qi Hao; Tariq Alkhalifah,Anisotropy,Norway; Saudi Arabia,1,anisotropy; attenuation; P-wave; traveltime; acoustic,4,2016-11-21,2016-03-28,An acoustic eikonal equation for attenuating transversely isotropic media with a vertical symmetry axis,82
6,2016-10-01,China University of Mining and Technology,Hongwei Wang; Suping Peng; Wenfeng Du,Anisotropy,China,1,TTI medium; six-order Zoeppritz equation; azimuthal AVO; S-wave,0,2016-11-22,2015-08-13,Azimuthal AVO for tilted TI medium,82
7,2016-08-27,Harbin Institute of Technology,Xiaobo Zheng; Hengshan Hu,Borehole Geophysics,China,1,borehole geophysics; wave propagation; head waves; tube wave,2,2016-11-07,2016-05-22,A theoretical investigation of acoustic monopole logging-while-drilling individual waves with emphasis on the collar wave and its dependence on formation,82
8,2016-08-24,The University of Texas at Austin; Private Consultant,Edwin Ortega; Mathilde Luycx; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics,USA; USA,1,inversion; interpretation; least-squares; invasion; log analysis,1,2016-11-07,2016-01-19,"Joint petrophysical interpretation of multidetector nuclear measurements in the presence of invasion, shoulder-bed, and well-deviation effects",82
9,2016-09-14,China University of Geosciences; Memorial University of Newfoundland; China University of Geosciences; Memorial University of Newfoundland; China University of Geosciences,Jianhui Li; Colin G. Farquharson; Xiangyun Hu,Electrical and Electromagnetic Methods,China; Canada; China; Canada; China,1,3D; electromagnetics; finite element; modeling,4,2016-11-08,2016-01-02,3D vector finite-element electromagnetic forward modeling for large loop sources using a total-field algorithm and unstructured tetrahedral grids,82
10,2016-10-06,University of Houston,Jiefu Chen; Shubin Zeng,Electrical and Electromagnetic Methods,USA,1,electromagnetics; finite element; layered; resistivity log; modeling,1,2016-11-21,2015-11-16,Hybridizing semianalytical and conventional finite-element schemes for simulations of electromagnetic borehole resistivity measurement,82
11,2016-09-06,"Chengdu University of Technology; Institute of Geology and Geophysics; Institute of Geology and Geophysics; BGP, China National Petroleum Corporation; China Railway Eryuan Engineering Group",Xingjian Wang; Lanfang He; Ling Chen; Ligui Xu; Jian Li; Xuyou Lei; Donghua Wei,Engineering and Environmental Geophysics,China; China; China; China; China,1,karst cavity; CSAMT; mapping; tunnel investigation; SW China,0,2016-11-07,2015-10-08,Mapping deeply buried karst cavities using controlled-source audio magnetotellurics: A case history of a tunnel investigation in southwest China,82
12,2016-09-06,University of Texas,Christopher van der Hoeven; Matthew Montgomery; Gregory Sablan; Erich Schneider; Carlos Torres-Verdín,Engineering and Environmental Geophysics,USA,1,-,0,2017-01-02,2016-04-13,Gadolinium tracers for enhancement of Sigma-log contrast measurements,82
13,2016-10-10,Petroleum Institute,Aldo Vesnaver,Geophysical Software and Algorithms,United Arab Emirates,1,seismic attributes; signal processing; seismic stratigraphy; attenuation,0,2016-11-30,2016-04-06,Instantaneous frequency and phase without unwrapping,82
14,2016-09-28,Carleton College; Carleton College; Carleton College,William J. Titus; Sarah J. Titus; Joshua R. Davis,Gravity Exploration Methods,USA; USA; USA,1,inversion; gravity; 2D; statistics,0,2016-12-07,2016-03-24,A Bayesian approach to modeling 2D gravity data using polygons,82
15,2016-08-25,China University of Petroleum (Beijing); Research Institute,Meng Li; Zhen Liu; Minzhu Liu; Huilai Zhang,Interpretation Methods,China; China,1,time lapse; interpretation; monitoring; bed thickness,0,2016-11-07,2015-09-01,Prediction of residual oil saturation by using the ratio of amplitude attributes of time-lapse seismic data,82
16,2016-09-14,Colorado School of Mines; Colorado School of Mines; Université de Lorraine,Xinming Wu; Guillaume Caumon,Interpretation Methods,USA; USA; France,1,wells; correlation; optimization; least-squares,7,2016-11-09,2016-06-02,Simultaneous multiple well-seismic ties using flattened synthetic and real seismograms,82
17,2016-08-27,Stanford University; University of Science and Technology of China; Stanford University; University of Science and Technology of China,Wenhuan Kuang; Mark Zoback; Jie Zhang,Passive Seismic Methods,USA; China; USA; China,1,microseismic; monitoring; case history,0,2016-11-11,2015-12-16,Estimating geomechanical parameters from microseismic plane focal mechanisms recorded during multistage hydraulic fracturing,82
18,2016-08-22,Stanford University; Stanford Rock Physics and Borehole Geophysics Project,Humberto S. Arévalo-López; Jack P. Dvorkin,Rock Physics,USA.,1,borehole geophysics; rock physics; wells; sonic; S-wave,3,2016-10-13,2016-02-12,Rock-physics diagnostics of a turbidite oil reservoir offshore northwest Australia,82
19,2016-08-22,University of Pisa; EDISON RD&amp;I,Mattia Aleardi; Fabio Ciabarri,Rock Physics,Italy; Italy,1,log analysis; rock physics; reservoir characterization,3,2016-10-13,2016-04-14,Assessment of different approaches to rock-physics modeling: A case study from offshore Nile Delta,82
20,2016-09-06,University of Calgary; Concordia University; University of Calgary,Biao Li; Ron C. K. Wong,Rock Physics,Canada; Canada; Canada,1,Canada; anisotropy; modeling; permeability; rock physics,1,2016-10-25,2015-10-28,Modeling anisotropic static elastic properties of soft mudrocks with different clay fractions,82
21,2016-09-06,University of Houston; Xi’an Jiaotong University; Cenovus Energy Inc.,Hemin Yuan; De-hua Han; Hui Li; Weimin Zhang,Rock Physics,USA; China; Canada,1,carbonate; rock physics; unconventional,1,2016-10-25,2015-11-26,A comparison of bitumen sands and bitumen carbonates: Measured data,82
