,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-03-25,,,Editor's Corner,,2,-,0,2013-03-25,1900-07-14,This issue of Geophysics,78
1,2012-09-17,University of California at Berkeley; Chevron Energy Technology Company,Maria-Daphne Mangriotis; James W. RectorIII; E. Frederic Herkenhoff; John C. Neu,Case Histories,,2,attenuation; case history; compressional wave (P-wave); downhole receivers; near surface,10,2013-02-01,2012-05-16,Scattering versus intrinsic attenuation in the vadose zone: A VSP experiment,78
2,2012-10-19,Uppsala University; University of Alberta; Uppsala University,María de los Ángeles García Juanatey; Ari Tryggvason; Christopher Juhlin; Ulf Bergström; Juliane Hübert; Laust B. Pedersen,Case Histories,Sweden; Sweden; Canada; Sweden,2,2D; magnetotelluric; mining; imaging; inversion,2,2013-02-01,2012-05-07,"MT and reflection seismics in northwestern Skellefte Ore District, Sweden",78
3,2012-10-29,University of Calgary; Flinders University; Stanford University; U. S. Geological Survey,Vanessa Nenna; Daan Herckenrath; Rosemary Knight; Nick Odlum; Darcy McPhee,Case Histories,Canada; Australia; USA; USA,2,electromagnetics; environmental; hydrology; near surface,6,2013-02-01,2012-01-03,"Application and evaluation of electromagnetic methods for imaging saltwater intrusion in coastal aquifers: Seaside Groundwater Basin, California",78
4,2012-11-17,Hashemite University; Hashemite University,Jafar Sadi Abu Rajab; Ali Ramadan El-Naqa,Case Histories,Jordan; Jordan,2,electromagnetics; resistivity; groundwater,5,2013-02-04,2011-09-27,"Mapping groundwater salinization using transient electromagnetic and direct current resistivity methods in Azraq Basin, Jordan",78
5,2012-10-14,Schlumberger,Colin M. Sayers,Borehole Geophysics and Rock Properties,USA,2,rock physics; anisotropy; modeling; reservoir characterization; shale gas,66,2013-01-25,2012-08-04,The effect of kerogen on the elastic anisotropy of organic-rich shales,78
6,2012-11-19,Stanford University,Adam M. Allan; Gary Mavko,Borehole Geophysics and Rock Properties,,2,shale gas; modeling; permeability; reservoir characterization; rock physics,8,2013-01-31,2012-08-16,The effect of adsorption and Knudsen diffusion on the steady-state permeability of microporous rocks,78
7,2012-09-12,Islamic Azad University; University of Tehran,A. Ahadi; M. A. Riahi,Borehole Geophysics and Rock Properties,Iran; Iran,2,vertical seismic profile (VSP); reflectivity; deconvolution,3,2013-01-31,2011-09-09,Application of Gabor deconvolution to zero-offset VSP data,78
8,2012-12-05,Colorado School of Mines; Colorado School of Mines; Université de Savoie; Colorado School of Mines,A. K. Haas; A. Revil; M. Karaoulis; L. Frash; J. Hampton; M. Gutierrez; M. Mooney,Borehole Geophysics and Rock Properties,USA; France; USA,2,borehole geophysics; electromagnetics; risk; shale gas; time-lapse,17,2013-03-07,2012-09-17,Electric potential source localization reveals a borehole leak during hydraulic fracturing,78
9,2012-11-26,Electromagnetic Geoservices (EMGS),Rune Mittet; Jan Petter Morten,Electrical and Electromagnetic Methods,Norway,2,electromagnetics; acquisition; marine,14,2013-02-04,2012-03-30,The marine controlled-source electromagnetic method in shallow water,78
10,2012-11-22,University of Mons; Royal Observatory of Belgium,John Deceuster; Olivier Kaufmann; Michel Van Camp,Electrical and Electromagnetic Methods,Belgium; Belgium,2,monitoring; resistivity; statistics; time-lapse; filtering,8,2013-02-04,2012-03-07,Automated identification of changes in electrode contact properties for long-term permanent ERT monitoring experiments,78
11,2012-11-21,Aarhus University,Nikolaj Foged; Esben Auken; Anders Vest Christiansen; Kurt Ingvard Sørensen,Electrical and Electromagnetic Methods,Denmark,2,airborne survey; resistivity; processing; modeling; inversion,18,2013-02-04,2012-06-28,Test-site calibration and validation of airborne and ground-based TEM systems,78
12,2012-10-19,University of Naples Federico II; University of Naples Federico II,Maurizio Fedi; Mahmoud Ahmed Abbas,Electrical and Electromagnetic Methods,Italy; Italy,2,self-potential; DEXP method; structural index; upward continuation,12,2013-02-05,2012-02-29,A fast interpretation of self-potential data using the depth from extreme points method,78
13,2012-10-19,the University of Western Australia; The University of Western Australia,Robin M. Weiss; Jeffrey Shragge,Geophysical Software and Algorithms,Australia; USA; Australia,2,modeling; finite difference; wave propagation,32,2013-02-05,2012-02-20,Solving 3D anisotropic elastic wave equations on parallel GPU devices,78
14,2012-10-29,École Polytechnique de Montréal,Pejman Shamsipour; Denis Marcotte; Michel Chouteau; Martine Rivest; Abderrezak Bouchedda,Gravity Exploration Methods,Canada,2,3D; inversion; gravity,17,2013-02-01,2012-04-06,3D stochastic gravity inversion using nonstationary covariances,78
15,2012-12-02,Memorial University of Newfoundland; Memorial University of Newfoundland,Craig R. W. Mosher; Colin G. Farquharson,Gravity Exploration Methods,Canada; Canada; Canada,2,gravity; inversion; mining,7,2013-03-18,2012-09-09,Minimum-structure borehole gravity inversion for mineral exploration: A synthetic modeling study,78
16,2012-09-17,University of Western Australia,A. R. A. Aitken; E-J. Holden; M. C. Dentith,Magnetic Exploration Methods,Australia,2,interpretation; magnetics; airborne survey; Australia,2,2013-02-25,2012-01-30,Semiautomated quantification of the influence of data richness on confidence in the geologic interpretation of aeromagnetic maps,78
17,2012-12-04,Boise State University; Boise State University; University of Auckland; Schlumberger Limited,Deborah Fagan; Kasper van Wijk; James Rutledge,Passive Seismic Methods,USA; USA; New Zealand; USA,2,passive seismic; statistics; spectral analysis; microseismic; crosscorrelation,9,2013-03-01,2012-08-14,Clustering revisited: A spectral analysis of microseismic events,78
18,2012-12-04,,D. W. Vasco,Poroelasticity,USA,2,wave propagation; modeling; rock physics; ray tracing; compressional wave (P-wave),1,2013-03-05,2012-05-01,On the propagation of a disturbance in a smoothly varying heterogeneous porous medium saturated with three fluid phases,78
19,2012-12-14,University of Bergen; NORSAR; University of Bergen; Stanford University,Tor Arne Johansen; Erling Hugo Jensen; Gary Mavko; Jack Dvorkin,Reservoir Geophysics,Norway; Norway; Norway; USA,2,porosity; reservoir characterization; rock physics; lithology; monitoring,16,2013-03-05,2012-06-13,Inverse rock physics modeling for reservoir quality prediction,78
20,2012-10-19,University of Houston; University of Houston; University of Houston,Mehdi E. Far; Leon Thomsen; Colin M. Sayers,Seismic Amplitude Interpretation,USA; USA; USA,2,fractures; anisotropy; amplitude variation with offset (AVO); rock physics; reflectivity,17,2013-02-05,2012-08-12,Seismic characterization of reservoirs with asymmetric fractures,78
21,2012-12-04,University of Alberta,Jiajun Han; Mirko van der Baan,Seismic Attributes and Pattern Recognition,Canada,2,interpretation; processing; resolution; seismic attributes,62,2013-02-07,2012-05-30,Empirical mode decomposition for seismic time-frequency analysis,78
22,2012-11-19,United States Department of Energy/National Energy Technology Laboratory (NETL),Dengliang Gao,Seismic Attributes and Pattern Recognition,USA; USA,2,3D; attributes; fractures; visualization,71,2013-02-07,2012-05-24,Integrating 3D seismic curvature and curvature gradient attributes for fracture characterization: Methodologies and interpretational implications,78
23,2012-12-05,Colorado School of Mines,Dave Hale,Seismic Attributes and Pattern Recognition,USA,2,faults; processing; interpretation; algorithm; 3D,55,2013-02-25,2012-08-16,"Methods to compute fault images, extract fault surfaces, and estimate fault throws from 3D seismic images",78
24,2012-10-29,University of California,Olivier Carrière; Peter Gerstoft,Seismic Interferometry,USA,2,4C; crosscorrelation; ocean-bottom node; Gulf of Mexico; hydrates,6,2013-02-04,2012-06-26,Deep-water subsurface imaging using OBS interferometry,78
25,2012-11-19,Université Joseph Fourier &amp; CNRS; TOTAL E&amp;P CSTJF; TOTAL E&amp;P,Amir Asnaashari; Romain Brossier; Stéphane Garambois; François Audebert; Pierre Thore; Jean Virieux,Seismic Inversion,France; France; U. K.,2,imaging; optimization; resolution; wells; illumination,54,2013-02-04,2012-03-20,Regularized seismic full waveform inversion with prior model information,78
26,2012-11-26,Seoul National University,Wansoo Ha; Changsoo Shin,Seismic Inversion,South Korea,2,algorithm; inversion; sampling,7,2013-02-04,2012-05-02,Efficient Laplace-domain full waveform inversion using a cyclic shot subsampling method,78
27,2012-12-09,Massachusetts Institute of Technology,Andrey H. Shabelansky; Alison Malcolm; Michael Fehler,Seismic Inversion,USA,2,time-lapse; imaging; acquisition; wave equation,1,2013-03-01,2012-05-10,Data-driven estimation of the sensitivity of target-oriented time-lapse seismic imaging to source geometry,78
28,2012-11-26,Imperial College London; CGGVeritas Services (UK) Limited; ConocoPhillips Norge,Michael Warner; Andrew Ratcliffe; Tenice Nangoo; Joanna Morgan; Adrian Umpleby; Nikhil Shah; Vetle Vinje; Ivan Štekl; Lluís Guasch; Caroline Win; Graham Conroy; Alexandre Bertrand,Seismic Inversion,U. K; U. K; Norway,2,inversion; 3D; anisotropy; imaging; tomography,121,2013-03-01,2012-08-20,Anisotropic 3D full-waveform inversion,78
29,2013-01-14,"Géoazur, Université Nice-Sophia Antipolis; Université Joseph Fourier, Grenoble; Géoazur, Université Nice-Sophia Antipolis",Yaser Gholami; Romain Brossier; Stéphane Operto; Alessandra Ribodetti; Jean Virieux,Seismic Inversion,France; U. K.; France; France,2,anisotropy; wave propagation; frequency domain; full waveform inversion; vertical transverse isotropic,60,2013-03-12,2012-06-01,Which parameterization is suitable for acoustic vertical transverse isotropic full waveform inversion? Part 1: Sensitivity and trade-off analysis,78
30,2012-12-02,"Géoazur, Université Nice-Sophia Antipolis; Université Joseph Fourier, Grenoble; Géoazur, Université Nice-Sophia Antipolis; Géoazur, Université Nice-Sophia Antipolis",Yaser Gholami; Romain Brossier; Stéphane Operto; Vincent Prieux; Alessandra Ribodetti; Jean Virieux,Seismic Inversion,France; U. K.; France; France; France; France,2,wave propagation; frequency-domain; anisotropy; vertical transverse isotropic anisotropy; seismic imaging; full waveform inversion; multiparameter inversion,26,2013-03-11,2012-06-01,Which parameterization is suitable for acoustic vertical transverse isotropic full waveform inversion? Part 2: Synthetic and real data case studies from Valhall,78
31,2012-10-18,Stanford University; ExxonMobil Upstream Research Company; Stanford University,Yaxun Tang; Biondo Biondi,Seismic Migration,USA; USA; USA,2,"3D; Gulf of Mexico; Sub-salt; illumination, reflectivity",2,2013-01-28,2012-07-09,Subsalt imaging by target-oriented inversion-based imaging:A 3D field-data example,78
32,2012-10-29,Islamic Azad University; University of Tehran,Diako Hariri Naghadeh; Mohamad Ali Riahi,Seismic Migration,Iran; Iran,2,migration,3,2013-01-31,2012-06-20,One-way wave-equation migration in log-polar coordinates,78
33,2012-10-20,The University of Western Australia,Jeffrey Shragge; David Lumley,Seismic Migration,Australia,2,4D; wave equation; tomography; velocity analysis; inversion,3,2013-02-01,2012-05-15,Time-lapse wave-equation migration velocity analysis,78
34,2012-10-14,King Abdullah University of Science and Technology,Xuxin Ma; Tariq Alkhalifah,Seismic Migration,Saudi Arabia,2,Reverse time migration; wave equation; wave propagation; imaging,4,2013-02-01,2012-06-24,Wavefield extrapolation in pseudodepth domain,78
35,2012-11-18,READ ASA; Schlumberger WesternGeco; Statoil ASA,Jakob B. U. Haldorsen; W. Scott Leaney; Richard T. Coates; Steen A. Petersen; Helge Ivar Rutledal; Kjetil A. Festervoll,Seismic Migration,Norway; U.S.A.; Norway,2,vertical seismic profile (VSP); shear wave (S-wave); horizontal wells; compressional wave (P-wave),2,2013-02-04,2012-04-29,Imaging above an extended-reach horizontal well using converted shear waves and a rig source,78
36,2012-12-06,Colorado School of Mines,Dave Hale,Seismic Migration,USA,2,processing; algorithm; crosscorrelation; 2D; 3D,89,2013-02-07,2012-08-15,Dynamic warping of seismic images,78
37,2012-12-11,CGGVeritas,Bing Tang; Sheng Xu; Yu Zhang,Seismic Migration,USA,2,3D; imaging; RTM; WAZ; migration,15,2013-03-15,2012-08-07,3D angle gathers with plane-wave reverse-time migration,78
38,2012-11-19,King Abdullah University of Science and Technology; The University of Texas at Austin,Christos Saragiotis; Tariq Alkhalifah; Sergey Fomel,Seismic Modeling and Wave Propagation,Saudi Arabia; USA,2,traveltime; tomography; signal processing,7,2013-02-08,2012-01-23,Automatic traveltime picking using instantaneous traveltime,78
39,2012-10-08,Stanford University,Yang Zhang; Biondo Biondi,Seismic Velocity/Statics,USA,2,wave equation; velocity analysis; tomography,19,2013-02-27,2012-03-05,Moveout-based wave-equation migration velocity analysis,78
