,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2013-05-21,,,Editor's Corner,,3,-,0,2013-05-21,1900-07-14,This issue of Geophysics,78
1,2013-01-24,Petroleum Geo-Service 4,Maïza Bekara,Geophysics Letters,U. K,3,signal processing; algorithm; processing,0,2013-04-12,2012-12-31,Taper design for block processing of seismic data,78
2,2013-01-13,Memorial University of Newfoundland,Charles Hurich; Sharon Deemer,Case Histories,Canada,3,borehole geophysics; case history; mining,7,2013-04-10,2012-08-16,Combined surface and borehole seismic imaging in a hard rock terrain: A field test of seismic interferometry,78
3,2013-02-20,China University of Geosciences (Wuhan); China Aerogeophysical Survey and Remote Sensing Center for Land and Resources,Xiangyun Hu; Ronghua Peng; Guiju Wu; Weiping Wang; Guangpu Huo; Bo Han,Case Histories,China; China,3,2D; case history; electromagnetics; interpretation; inversion,6,2013-05-03,2012-04-01,"Mineral Exploration using CSAMT data: Application to Longmen region metallogenic belt, Guangdong Province, China",78
4,2013-02-11,University of Adelaide; University of Adelaide; Petratherm Ltd.,Jared R. Peacock; Stephan Thiel; Graham S. Heinson; Peter Reid,Case Histories,Australia; Australia; Australia,3,Australia; monitoring; geothermal; magnetotelluric; time-lapse,25,2013-05-13,2012-07-16,Time-lapse magnetotelluric monitoring of an enhanced geothermal system,78
5,2013-02-19,Institut de Physique du Globe de Paris; Istituto Nazionale di Geofisica e Vulcanologia — Sezione di Pisa; Institut de Physique du Globe de Paris,Manuel Queißer; Satish C. Singh,Case Histories,France; Italy; France,3,Full waveform inversion; Sleipner; seismic image; tuning; time lapse,9,2013-05-13,2012-06-13,Localizing CO2 at Sleipner — Seismic images versus P-wave velocities from waveform inversion,78
6,2012-12-04,University of Houston; BP America Inc.; University of Arkansas; Schlumberger Limited,Jintan Li; Christopher Liner; Po Geng; Jianjun Zeng,Case Histories,USA; USA; USA; USA,3,4D; time-lapse; modeling,4,2013-05-29,2012-05-01,"Convolutional time-lapse seismic modeling for CO2 sequestration at the Dickman oilfield, Ness County, Kansas",78
7,2012-12-07,Boise State University; Boise State University; The University of Auckland; Boise State University; The University of Auckland,Thomas E. Blum; Ludmila Adam; Kasper van Wijk,Anisotropy,USA; USA; New Zealand; USA; New Zealand,3,anisotropy; multicomponent; rock physics; wave propagation,19,2013-04-29,2012-08-07,Noncontacting benchtop measurements of the elastic properties of shales,78
8,2012-12-25,Rutgers University; Pacific Northwest National Laboratory,Judith Robinson; Timothy Johnson; Lee Slater,Borehole Geophysics and Rock Properties,USA; USA,3,borehole geophysics; fractures; inversion; resistivity; near surface,14,2013-04-08,2012-08-17,Evaluation of known-boundary and resistivity constraints for improving cross-borehole DC electrical resistivity imaging of discrete fractures,78
9,2013-01-13,ConocoPhillips Company,Samik Sil,Borehole Geophysics and Rock Properties,USA,3,anisotropy; borehole geophysics; fractures; log analysis; rock physics,7,2013-04-09,2012-09-25,Fracture parameter estimation from well-log data,78
10,2012-12-25,Kharazmi University,Mohammad Reza Asef; Ali Reza Najibi,Borehole Geophysics and Rock Properties,Iran,3,borehole geophysics; carbonate; compressional wave (P-wave); shear wave (S-wave); bulk modulus,19,2013-04-10,2012-07-20,The effect of confining pressure on elastic wave velocities and dynamic to static Young’s modulus ratio,78
11,2013-01-23,Massachusetts Institute of Technology; Halliburton,Xinding Fang; Michael Fehler; Zhenya Zhu; Tianrun Chen; Stephen Brown; Arthur Cheng; M. Nafi Toksöz,Borehole Geophysics and Rock Properties,USA; USA,3,borehole geophysics; anisotropy; wells; rock physics; 3D,9,2013-04-11,2012-04-30,An approach for predicting stress-induced anisotropy around a borehole,78
12,2013-02-11,The University of Texas at Austin,Olabode Ijasan; Carlos Torres-Verdín; William E. Preeg,Borehole Geophysics and Rock Properties,USA; USA,3,logging; log analysis; interpretation; borehole geophysics; algorithm,6,2013-05-02,2012-10-09,Fast modeling of borehole neutron porosity measurements with a new spatial transport-diffusion approximation,78
13,2012-12-25,"Fugro GeoConsulting, Inc.; University of Houston",Zijian Zhang; De-hua Han; Daniel R. McConnell,Borehole Geophysics and Rock Properties,USA; USA,3,attributes; hydrates; interpretation; marine; rock physics area,0,2013-05-02,2012-09-15,Characterization of elastic properties of near-surface and subsurface deepwater hydrate-bearing sediments,78
14,2013-02-13,University of Calgary,Vanessa Nenna; Adam Pidlisecky,Electrical and Electromagnetic Methods,Canada,3,Hydrogeophysics; Electromagnetic theory; spatial analysis,0,2013-04-08,2012-09-03,The use of wavelet transforms for improved interpretation of airborne transient electromagnetic data,78
